Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,06-Feb-2026 04:28 PM,09-Feb-2026 10:00 AM,techsummary_2048839.pdf (1096.96 KB),17-Feb-2026,"INR 157,342.17",15.0,deena nath maurya,08-May-2026 03:37 PM,agno389.pdf (708.00 KB),AOC,Technical,summary,deena nath maurya,06-Feb-2026 03:31 PM,technical_2048839.pdf,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,12-Feb-2026 12:47 PM,finsummary_2048839.pdf (1096.96 KB),Finance,Boq Summary,deena nath maurya,09-Feb-2026 02:44 PM,finance_2048839.pdf,BOQ Comparative Chart,1.0,5836574.0,M/s SVGS Enterprises,INR,"157,342.17",1,5836574,M/s SVGS Enterprises,01-Feb-2026 10:37 PM,Accepted-AOC,L1,08-May-2026 03:37 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2026_UPIDC_1109456_48,08/AEIV/2025-26,"Repairing and Maintenance of Room no. F-1, 2 and G-15, 16, 3, 11, 12 at Dr. Ram Manohar Lohiya Transit Hostel Telibagh, Lucknow.(Lot No.48)",AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",08/AEIV/2025-26,2026_UPIDC_1109456_48,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,27-Jan-2026 12:00 PM,02-Feb-2026 03:00 PM,27-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,27-Jan-2026 12:00 PM ,02-Feb-2026 12:00 PM ,27-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,09-Feb-2026 10:00 AM,1.0,SBI Bank,Assistant Engineer IV,LDSC Lucknow,"Repairing and Maintenance of Room no. F-1, 2 and G-15, 16, 3, 11, 12 at Dr. Ram Manohar Lohiya Transit Hostel Telibagh, Lucknow.(Lot No.48)","Repairing and Maintenance of Room no. F-1, 2 and G-15, 16, 3, 11, 12 at Dr. Ram Manohar Lohiya Transit Hostel Telibagh, Lucknow.(Lot No.48)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,15.0,Transit hostel telibagh,226002.0,NA ,NA ,NA ,canal Colony,No ,No,"3,240",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5837266,R B KARAN SINGH,02-Feb-2026 10:12 AM,Rejected-AOC,L2,08-May-2026 03:37 PM,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
