S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,EEREDAGRA,EEREDAGRA,854.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,1419/EERED2025-26DT18-02-2026,2026_REDUP_1121035_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Agra share ke ward number char kotli vagichi devi road ramjeel mathru wale ke ghar se vijendra singh ke ghar ki Ore samne wali gali mein cc Evam nali nirmaan karya,Agra share ke ward number char kotli vagichi devi road ramjeel mathru wale ke ghar se vijendra singh ke ghar ki Ore samne wali gali mein cc Evam nali nirmaan karya,Please refer Tender documents. ,NA ,,Civil Works,NA ,Rate Contract,90.0,90.0,AGRA,282002.0,NA ,NA ,NA ,EEREDAGRA,No ,No,1,Fee/PreQual/Technical,.pdf,BID,"50,000",Yes,fixed,,Nil,Nil,28-Feb-2026 10:00 AM,10-Mar-2026 02:30 PM,28-Feb-2026 10:00 AM,10-Mar-2026 02:00 PM,NA ,NA ,28-Feb-2026 10:00 AM,10-Mar-2026 02:00 PM,12-Mar-2026 09:00 AM,AOC,EERED,Internal,,Dinesh Singh,11-Mar-2026 04:29 PM,12-Mar-2026 09:00 AM,techsummary_2085535.pdf (192.22 KB),Finance,F,Dinesh Singh,12-Mar-2026 10:56 AM,,BOQ Comparative Chart,EERED,Internal,,Dinesh Singh,20-Mar-2026 03:46 PM,finsummary_2085535.pdf (192.22 KB),Technical,T,Dinesh Singh,11-Mar-2026 10:21 AM,,1.0,5941059.0,SWASTIK ENTERPRISES,INR,"2,498,498",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,2026_REDUP_1121035_2,1419/EERED2025-26DT18-02-2026,Agra share ke ward number char kotli vagichi devi road ramjeel mathru wale ke ghar se vijendra singh ke ghar ki Ore samne wali gali mein cc Evam nali nirmaan karya,1,5945483,Lovely Enterprises,03-Mar-2026 01:09 PM,Rejected-Finance,L2,20-Mar-2026 03:46 PM,25-Mar-2026,"INR 2,498,498",90.0,Dinesh Singh,12-May-2026 02:48 PM,blank3.pdf (181.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5941059,SWASTIK ENTERPRISES,09-Mar-2026 06:33 PM,Accepted-AOC,l1,12-May-2026 02:48 PM,,,,,,,AOC
