Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Technical,Opend,Suresh Kumar Jaiswal,17-Mar-2026 03:05 PM,,02-May-2026,"INR 1,276,244",90.0,Abhishek Rai,21-May-2026 03:38 PM,bpdf.pdf (153.00 KB),Executive Engineer,Internal,,Suresh Kumar Jaiswal,19-Mar-2026 12:17 PM,19-Mar-2026 01:00 PM,techsummary_2087878.pdf (448.22 KB),1,5968140,RAJ CONSTRUCTION,12-Mar-2026 03:40 PM,Accepted-AOC,L1,21-May-2026 03:38 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1121779_28,2900/EE/RED/GKP/25-26 Date 07-02-26,Block-Chargawa Gram Sabha Jungle Chatradhari mein Laal Ganj Mahuachaafi Pitch Road se Mahuachaafi Gaon Tak Mitti or Kharanja Karya,1.0,5968140.0,RAJ CONSTRUCTION,INR,"1,276,244",Executive Engineer,Internal,,Abhishek Rai,20-Mar-2026 12:42 PM,finsummary_2087878.pdf (152.96 KB),Finance,Opend,Abhishek Rai,19-Mar-2026 09:48 PM,,BOQ Comparative Chart,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2900/EE/RED/GKP/25-26 Date 07-02-26,2026_REDUP_1121779_28,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Block-Chargawa Gram Sabha Jungle Chatradhari mein Laal Ganj Mahuachaafi Pitch Road se Mahuachaafi Gaon Tak Mitti or Kharanja Karya,Block-Chargawa Gram Sabha Jungle Chatradhari mein Laal Ganj Mahuachaafi Pitch Road se Mahuachaafi Gaon Tak Mitti or Kharanja Karya,Please refer Tender documents. ,NA ,"12,77,000",Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,NA ,NA ,NA ,Vikash Bhawan Gorakhpur,No ,No,"25,540",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical,08-Mar-2026 09:00 AM,16-Mar-2026 09:00 AM,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,NA ,NA ,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,19-Mar-2026 01:00 PM,812.0,Nil,Nil,No,EXECUTIVE ENGINEER,Vikash Bhawan,AOC
,,,,,,,,,,,,,,,,,,2,5968449,SHREE TRADERS,12-Mar-2026 05:03 PM,Rejected-AOC,L2,21-May-2026 03:38 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,AOC
