Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,"22,000",No,fixed,,Nil,Nil,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,354/E-Tender/2025-26 dt. 18.02.2026,2026_PWDBL_1119781_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,770.0,Nil,Nil,No,1.0,SBI Bank,"Rajkiya Colony, Mall Avenue sthit Awas no-A-202 me kitchen ka navinikaran karne avem, awas me bani almirah me palla lagane, awas ki purani va kharab ho chuki do khidkiyon ke sthan par UPVC khidkiyan lagane va ek commode lagane ka karya, avem anya ci","Rajkiya Colony, Mall Avenue sthit Awas no-A-202 me kitchen ka navinikaran karne avem, awas me bani almirah me palla lagane, awas ki purani va kharab ho chuki do khidkiyon ke sthan par UPVC khidkiyan lagane va ek commode lagane ka karya, avem anya ci",Please refer Tender documents. ,NA ,"2,20,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,27-Feb-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,26-Feb-2026 09:00 AM,03-Mar-2026 12:30 PM,26-Feb-2026 09:00 AM,03-Mar-2026 12:00 PM,NA ,NA ,26-Feb-2026 09:00 AM,03-Mar-2026 12:00 PM,AOC,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,E Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,16-May-2026 05:05 PM,techsummary_2082946.pdf (2208.19 KB),EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,16-May-2026 05:08 PM,finsummary_2082946.pdf (2208.19 KB),Finance,Evaluation Letter,DILIP KUMAR,12-Mar-2026 01:31 PM,finance_2082946.pdf,BOQ Comparative Chart,1,5941728,RATAN ENTERPRISES,02-Mar-2026 07:52 PM,Rejected-Finance,Financial bid Rejected due to L2,16-May-2026 05:08 PM,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1119781_3,354/E-Tender/2025-26 dt. 18.02.2026,"Rajkiya Colony, Mall Avenue sthit Awas no-A-202 me kitchen ka navinikaran karne avem, awas me bani almirah me palla lagane, awas ki purani va kharab ho chuki do khidkiyon ke sthan par UPVC khidkiyan lagane va ek commode lagane ka karya, avem anya ci",1.0,5941750.0,SANJAY ENTERPRISES,INR,"182,672.17",16-May-2026,"INR 182,672.17",30.0,DILIP KUMAR,16-May-2026 05:11 PM,799.pdf (760.00 KB),AOC for Acceptance No 799 date 29.04.2026,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,5941750,SANJAY ENTERPRISES,02-Mar-2026 06:57 PM,Accepted-AOC,Financial bid is accepted at the Price Rs. 182672.17 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,16-May-2026 05:11 PM,,,,,,,,,,,,,,,,,AOC
