EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"41,000",No,fixed,,Nil,Nil,EE RED KUSHINAGAR,EE RED KUSHINAGAR,"2,336",Nil,Nil,No,Vikas Khand Tamkuhiraj ke Gram Sabha Dhuriya Hata me nahar puliya se Raju Rai ji ke farm tak CC road evam hume pipe puliya ka nirman karya.,Vikas Khand Tamkuhiraj ke Gram Sabha Dhuriya Hata me nahar puliya se Raju Rai ji ke farm tak CC road evam hume pipe puliya ka nirman karya.,Please refer Tender documents. ,NA ,"20,31,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,17-Mar-2026 09:00 AM,23-Mar-2026 03:00 PM,17-Mar-2026 09:00 AM,23-Mar-2026 12:00 PM,NA ,NA ,17-Mar-2026 09:00 AM,23-Mar-2026 12:00 PM,30-Mar-2026 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2422/RED Tender KUSHINAGAR,2026_REDUP_1126057_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,AOC,Finance,Bid Opening Summary,Praveen Kumar,30-Mar-2026 01:16 PM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,30-Mar-2026 11:56 AM,30-Mar-2026 12:00 PM,techsummary_2099768.pdf (868.63 KB),Technical,Bid Opening Summary,Praveen Kumar,30-Mar-2026 11:03 AM,,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,16-Apr-2026 09:03 AM,finsummary_2099768.pdf (146.33 KB),25-May-2026,INR 100,90.0,Virendra Kumar Pandey,25-May-2026 08:19 PM,Untitled.pdf (2170.00 KB),1.0,5994784.0,MAA VINDHWASHINI ENTERPRISES,INR,100.0,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1126057_7,2422/RED Tender KUSHINAGAR,Vikas Khand Tamkuhiraj ke Gram Sabha Dhuriya Hata me nahar puliya se Raju Rai ji ke farm tak CC road evam hume pipe puliya ka nirman karya.,1,5994784,MAA VINDHWASHINI ENTERPRISES,21-Mar-2026 04:51 PM,Accepted-AOC,L1,25-May-2026 08:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5997701,M/s Bindu Devi,23-Mar-2026 07:59 AM,Rejected-Finance,L2,16-Apr-2026 09:03 AM,AOC
