Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Saharanpur Municipal Corporation Saharanpur UP,WW/768/CFC/2025-26,2026_NNSAH_1137894_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"45,800",No,percentage,10.0%,Nil,Nil,"G.M (Jal), Nagar Nigam Saharanpur","G.M (Jal), Nagar Nigam Saharanpur",590.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical,"Laying of 90/110mm dai 6kg/cm PVC Pipe Line Street of Ambedkar Chowk, Street of Maharatra Bank Ambala Road and Behind of City Place Nala Patri ward 7","Laying of 90/110mm dai 6kg/cm PVC Pipe Line Street of Ambedkar Chowk, Street of Maharatra Bank Ambala Road and Behind of City Place Nala Patri ward 7",Please refer Tender documents. ,NA ,"4,57,999",Civil Works - Water Works,NA ,Tender,90.0,60.0,Ward No 7,247001.0,NA ,NA ,NA ,JalKal Vibhag Nagar Nigam Saharanpur,No ,No,16-Apr-2026 06:55 PM,27-Apr-2026 04:00 PM,16-Apr-2026 06:55 PM,27-Apr-2026 03:00 PM,NA ,NA ,16-Apr-2026 06:55 PM,27-Apr-2026 03:00 PM,13-May-2026 06:25 PM,AOC,Azmain Warsi,Internal,Azmain Warsi,Sandeep kumar Misra,13-May-2026 06:21 PM,13-May-2026 06:25 PM,techsummary_2124731.pdf (574.66 KB),Finance,Admitted,Sandeep kumar Misra,13-May-2026 06:57 PM,finance_2124731.pdf,BOQ Comparative Chart,Purushottam Kumar,Internal,Purushottam Kumar,Vijay Bahadur singh,21-May-2026 04:06 PM,finsummary_2124731.pdf (681.44 KB),Technical,Admitted,Sandeep kumar Misra,13-May-2026 06:15 PM,technical_2124731.pdf,1,6072309,KANHA ENTERPRISES,27-Apr-2026 02:28 PM,Accepted-AOC,L1,21-May-2026 04:08 PM,Saharanpur Municipal Corporation Saharanpur UP,2026_NNSAH_1137894_1,WW/768/CFC/2025-26,"Laying of 90/110mm dai 6kg/cm PVC Pipe Line Street of Ambedkar Chowk, Street of Maharatra Bank Ambala Road and Behind of City Place Nala Patri ward 7",1.0,6072309.0,KANHA ENTERPRISES,INR,"448,839",21-May-2026,"INR 448,839",60.0,Vijay Bahadur singh,21-May-2026 04:08 PM,768bbb.pdf (681.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6072001,RUDRAKSHI ENTERPRISES,27-Apr-2026 01:21 PM,Rejected-AOC,L2,21-May-2026 04:08 PM,,,,,,,,,,,,,,,,,AOC
