Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,1,Fee/PreQual/Technical,.pdf,Technical PDF,856.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,07_03/Mpy/KHERI/2026-27,2026_REDUP_1138342_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"CC and drain construction work, approximately 115 meters from the house of Kamta Prasad to the house of Prempal in Mazra Rampur, Gram Panchayat Karaunda. Block Mohammadi","CC and drain construction work, approximately 115 meters from the house of Kamta Prasad to the house of Prempal in Mazra Rampur, Gram Panchayat Karaunda. Block Mohammadi",Please Refer Tender Document ,NA ,"14,23,600",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,25-Apr-2026 12:00 PM,02-May-2026 12:30 PM,25-Apr-2026 12:00 PM,02-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 12:00 PM,02-May-2026 12:00 PM,07-May-2026 12:00 PM,1.0,SBI Bank,"29,000",No,fixed,,Nil,Nil,AOC,Finance,Recommended for Financial Evaluation,Rajendra Nath Chaturvedi,07-May-2026 02:18 PM,finance_2125490.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,04-May-2026 07:49 PM,07-May-2026 12:00 PM,techsummary_2125490.pdf (544.64 KB),Technical,Recommended for Technical Evaluation,Rajendra Nath Chaturvedi,02-May-2026 06:09 PM,technical_2125490.pdf,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,11-May-2026 05:20 PM,finsummary_2125490.pdf (278.83 KB),14-May-2026,"INR 1,423,297",60.0,Rajendra Nath Chaturvedi,20-May-2026 03:48 PM,AOC_07_03.pdf (307.00 KB),1.0,6081734.0,M/s Mannat Construction,INR,"1,423,297",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1138342_1,07_03/Mpy/KHERI/2026-27,"CC and drain construction work, approximately 115 meters from the house of Kamta Prasad to the house of Prempal in Mazra Rampur, Gram Panchayat Karaunda. Block Mohammadi",1,6081734,M/s Mannat Construction,01-May-2026 02:13 PM,Accepted-AOC,Accepted,20-May-2026 03:48 PM,AOC
,,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6081815,SWIKRIT CONSTRUCTIONS,01-May-2026 02:53 PM,Rejected-Finance,2nd Lowest Bidder,11-May-2026 05:20 PM,AOC
