S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Corrigendum 02 Dates,Date,,1.0,Fee/PreQual/Technical,.pdf,Scanned Copies of Tender Fees and EMD Fees,Construction and Design Services UP Jal Nigam||C.G.M. (II) Noida||G.M. (09) Noida||Unit-17 Mathura,118/E-Tender/06 DATED 16-03-2026,2026_UPCDS_1127531_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,"2,360",AS PER NIT,AS PER NIT,No,"37,000",Yes,fixed,,AS PER NIT,AS PER NIT,19-Mar-2026 02:00 PM,23-Apr-2026 04:00 PM,19-Mar-2026 02:00 PM,23-Apr-2026 02:00 PM,NA ,NA ,27-Mar-2026 10:00 AM,23-Apr-2026 02:00 PM,07-May-2026 02:00 PM,CONSTRUCTION OF BOUNDARY WALL AND GATE FOR A.C.P. OFFICE CAMPUS AT DISTRICT AGRA (U.P.),CONSTRUCTION OF BOUNDARY WALL AND GATE FOR A.C.P. OFFICE CAMPUS AT DISTRICT AGRA (U.P.),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,180.0,AGRA,282001.0,NA ,NA ,NA ,AS PER NIT,No ,No,1.0,RTGS - RTGS Payment,PROJECT MANAGER,"Unit-35, C. and D.S., UP Jal Nigam (Urban), Agra",AOC,Finance,OUT OF 02 BIDDERS RATES QUOTED BY AGRIMA ENTERPRISES IS L1,KAPIL M. Singh,07-May-2026 03:20 PM,finance_2103045.pdf,BOQ Comparative Chart,GENERAL MANAGER,Internal,PROJECT MANAGER (UNIT-35) AND FINANCE OFFICER,KAPIL M. Singh,05-May-2026 12:52 PM,07-May-2026 02:00 PM,techsummary_2103045.pdf (503.37 KB),Technical,03 BIDDERS PARTICIPATED IN THIS BID. RESULT OF TECHNICAL EVALUATION WILL BE UPLOADED LATER ON.,KAPIL M. Singh,23-Apr-2026 06:04 PM,technical_2103045.pdf,GENERAL MANAGER(N-11),Internal,PROJECT MANAGER (U-35) AND FINANCE OFFICER,KAPIL M. Singh,22-May-2026 06:50 PM,finsummary_2103045.pdf (871.07 KB),22-May-2026,"INR 1,667,061",180.0,KAPIL M. Singh,22-May-2026 06:58 PM,277LOACPOSADARBWALL.pdf (871.00 KB),"CONTRACT AWARDED TO M/S AGRIMA ENTERPRISES, AGRA DUE TO LOWEST (L1) RATE.",1.0,6064334.0,AGRIMA ENTERPRISES,INR,"1,667,061",Construction and Design Services UP Jal Nigam||C.G.M. (II) Noida||G.M. (09) Noida||Unit-17 Mathura,2026_UPCDS_1127531_1,118/E-Tender/06 DATED 16-03-2026,CONSTRUCTION OF BOUNDARY WALL AND GATE FOR A.C.P. OFFICE CAMPUS AT DISTRICT AGRA (U.P.),1.0,6064334.0,AGRIMA ENTERPRISES,23-Apr-2026 01:37 PM,Accepted-AOC,Bid Rank is L-1,22-May-2026 06:59 PM,AOC
2.0,Corrigendum 01,Other,,,,.pdf,Documents for Technical Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6059198.0,Masroor Zaidi,20-Apr-2026 02:28 PM,Rejected-Finance,Bid Rank is L-2,22-May-2026 06:50 PM,AOC
,,,,,,.xls,Capability Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6064298.0,M/S PARI CONSTRUCTION,23-Apr-2026 12:51 PM,Rejected-Technical,INADEQUATE IN TECHNICAL BID,05-May-2026 12:52 PM,AOC
,,,,2.0,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
