Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"General Manager, Zone-1, Prayagraj","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230 /1A, Mehdaury, Telirayganj District-Prayagraj .","Construction of 02 Barracks of 30 Capacity in Place of old Barrack in Central Jail Naini, Prayagraj (U.P.)","Construction of 02 Barracks of 30 Capacity in Place of old Barrack in Central Jail Naini, Prayagraj (U.P.)",Please refer Tender documents. ,NA ,"1,73,69,000",Civil Works - Buildings,NA ,Tender,90.0,365.0,District- Prayagraj (U.P.),221001.0,NA ,NA ,NA ,Prayagraj,No ,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,120/UPPCL/GM-1/2025-26/ETENDER Dated-20.03.2026,2026_UPPRC_1130594_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,BIDDOC,28-Mar-2026 11:00 AM,04-Apr-2026 03:00 PM,28-Mar-2026 11:00 AM,04-Apr-2026 02:00 PM,NA ,NA ,28-Mar-2026 11:00 AM,04-Apr-2026 02:00 PM,07-Apr-2026 04:00 PM,"3,48,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"17,700",Nil,Nil,No,AOC,"General Manager Zone-1, Prayagraj",Internal,"Project Manage Unit-2, Prayagraj, Accountant Unit-2, Prayagraj, General Manager(Technicl), Lucknow",SURESH CHANDRA YADAV,07-Apr-2026 11:24 AM,07-Apr-2026 04:00 PM,techsummary_2109212.pdf (456.01 KB),Finance,Enclosed,SURESH CHANDRA YADAV,04-May-2026 03:54 PM,finance_2109212.pdf,BOQ Comparative Chart,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-02, Prayagraj, Accountant Unit-2, Prayagraj, General Manager(Technical), Lucknow",SURESH CHANDRA YADAV,04-May-2026 03:57 PM,finsummary_2109212.pdf (456.01 KB),Technical,Enclose,SURESH CHANDRA YADAV,07-Apr-2026 11:21 AM,technical_2109212.pdf,1,6028513,ASHA CONSTRUCTION & SUPPLIERS,03-Apr-2026 09:11 PM,Rejected-AOC,Accept,04-May-2026 04:00 PM,1.0,6021913.0,M/S MOHD. NASIB,INR,"16,933,722.71",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1130594_1,120/UPPCL/GM-1/2025-26/ETENDER Dated-20.03.2026,"Construction of 02 Barracks of 30 Capacity in Place of old Barrack in Central Jail Naini, Prayagraj (U.P.)",04-May-2026,"INR 16,933,722.71",365.0,SURESH CHANDRA YADAV,04-May-2026 04:00 PM,Age05.pdf (387.00 KB),Enclosed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6021913,M/S MOHD. NASIB,03-Apr-2026 10:57 PM,Accepted-AOC,Accept,04-May-2026 04:00 PM,,,,,,,,,,,,,,,,,AOC
