Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage
EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,30-Mar-2026 06:41 PM,07-Apr-2026 11:00 AM,techsummary_2095781.pdf (268.13 KB),Technical,Bids received,Aniruddh Kumar Yadav,30-Mar-2026 05:12 PM,,22-Apr-2026,"INR 1,508,484",90.0,Aniruddh Kumar Yadav,04-May-2026 05:48 PM,Akoda.pdf (636.00 KB),1,5993287,M/S HANS CONSTRUCTION,20-Mar-2026 09:37 PM,Accepted-AOC,1st lowest,04-May-2026 05:48 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1124422_12,965/RED/Chandauli/25-26 Date-01-01-2026,Vikas Khand Sadar ke Gram Panchayat Akodha Kala ke Rajswa Gaon Shivpur me nahar se Kali Mata Mandir tak nali awm CC road nirman kary.,1.0,5993287.0,M/S HANS CONSTRUCTION,INR,"1,508,484",EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,13-Apr-2026 05:11 PM,finsummary_2095781.pdf (399.28 KB),Finance,bids received,Aniruddh Kumar Yadav,07-Apr-2026 03:04 PM,,BOQ Comparative Chart,AOC,13-Mar-2026 09:00 AM,23-Mar-2026 12:30 PM,13-Mar-2026 09:00 AM,23-Mar-2026 12:00 PM,NA ,NA ,13-Mar-2026 09:00 AM,23-Mar-2026 12:00 PM,07-Apr-2026 11:00 AM,Vikas Khand Sadar ke Gram Panchayat Akodha Kala ke Rajswa Gaon Shivpur me nahar se Kali Mata Mandir tak nali awm CC road nirman kary.,Vikas Khand Sadar ke Gram Panchayat Akodha Kala ke Rajswa Gaon Shivpur me nahar se Kali Mata Mandir tak nali awm CC road nirman kary.,Please refer Tender documents. ,NA ,"15,10,000",Civil Works - Roads,NA ,Tender,90.0,90.0,chandauli,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,"30,500",No,fixed,,Nil,Nil,"1,104",Nil,Nil,No,1.0,SBI Bank,EE RED Chandauli,EE RED Chandauli,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,965/RED/Chandauli/25-26 Date-01-01-2026,2026_REDUP_1124422_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date Extended,Date,,1,Fee/PreQual/Technical,.pdf,EMD and Technical Document,AOC
,,,,,,,,,,,,,,,,,,2,5993559,SANJAY ENTERPRISES,20-Mar-2026 09:04 PM,Rejected-Finance,Reject due to higher rate,13-Apr-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Document,AOC
