Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1142478_1,67/EE/RED/2025-26/08-04-2026,Lot14 Composit vidyalay siaknderpur nawanagar me pathway enterlocking ka kary,1.0,6090095.0,DIWAN YADAV,INR,"606,205.73",1.0,6090095.0,DIWAN YADAV,06-May-2026 04:32 PM,Accepted-AOC,AOC,22-May-2026 02:45 PM,22-May-2026,"INR 606,205.73",90.0,Ratnesh Kumar Gond,22-May-2026 02:45 PM,rispansiv.pdf (50.00 KB),aOC,EE,Internal,aedao,Ratnesh Kumar Gond,15-May-2026 12:02 PM,16-May-2026 12:00 PM,techsummary_2133687.pdf (49.63 KB),Finance,2 bid,Ratnesh Kumar Gond,16-May-2026 03:38 PM,,BOQ Comparative Chart,EE,Internal,aedao,Ratnesh Kumar Gond,22-May-2026 02:13 PM,finsummary_2133687.pdf (49.63 KB),Technical,2 bid,Ratnesh Kumar Gond,11-May-2026 08:27 AM,,AOC,856.0,Nil,Nil,No,"12,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender FEE EMD,Lot14 Composit vidyalay siaknderpur nawanagar me pathway enterlocking ka kary,Lot14 Composit vidyalay siaknderpur nawanagar me pathway enterlocking ka kary,Please refer Tender documents. ,NA ,"6,08,000",Civil Works,NA ,Tender,90.0,90.0,ballia,277001.0,NA ,NA ,NA ,EE RED DIV Ballia,No ,No,01-May-2026 09:00 AM,08-May-2026 12:00 PM,01-May-2026 09:00 AM,07-May-2026 12:00 PM,NA ,NA ,01-May-2026 09:00 AM,07-May-2026 12:00 PM,16-May-2026 12:00 PM,EE RED DIV Ballia,EE RED DIV Ballia,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,67/EE/RED/2025-26/08-04-2026,2026_REDUP_1142478_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC
,,,,,,,,,2.0,6090124.0,M/S KAMAL DEO YADAV,06-May-2026 04:49 PM,Rejected-Finance,second lowest,22-May-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,other tecnical document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,boq for rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
