Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
C.C. road construction work from Robin house to Diksha Public School via Mishra Flour Mill and Hanuman Temple in Village Surajpur.,C.C. road construction work from Robin house to Diksha Public School via Mishra Flour Mill and Hanuman Temple in Village Surajpur.,Civil Work  ,NA ,"37,00,000",Civil Works,NA ,Tender,90.0,90.0,EE RED GBN,201306.0,NA ,NA ,NA ,EE RED GBN,No ,No,EE RED GBN,EE RED GBN,24-Apr-2026 10:00 AM,29-Apr-2026 04:00 PM,24-Apr-2026 10:00 AM,29-Apr-2026 12:00 PM,NA ,NA ,24-Apr-2026 10:00 AM,29-Apr-2026 12:00 PM,08-May-2026 12:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,234/EERED/GBN/Dt-20.03.2026,2026_REDUP_1141137_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,T1,854.0,Nil,Nil,No,1.0,SBI Bank,"74,000",No,fixed,,Nil,Nil,AOC,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,04-May-2026 05:20 PM,08-May-2026 12:30 PM,techsummary_2131003.pdf (206.45 KB),Finance,Summary,ShashiBhushan Yadav,08-May-2026 04:11 PM,finance_2131003.pdf,BOQ Comparative Chart,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,11-May-2026 05:37 PM,finsummary_2131003.pdf (206.46 KB),Technical,Summary,ShashiBhushan Yadav,04-May-2026 03:57 PM,technical_2131003.pdf,1,6074698,KESHAV ENTERPRISES,29-Apr-2026 09:25 AM,Rejected-Finance,L2,11-May-2026 05:37 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,2026_REDUP_1141137_5,234/EERED/GBN/Dt-20.03.2026,C.C. road construction work from Robin house to Diksha Public School via Mishra Flour Mill and Hanuman Temple in Village Surajpur.,1.0,6074862.0,YASHIKA CONSTRUCTION CO.,INR,"3,691,701.13",12-May-2026,"INR 3,691,701.13",90.0,ShashiBhushan Yadav,12-May-2026 08:55 PM,SurajpurRobin.pdf (369.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6074862,YASHIKA CONSTRUCTION CO.,29-Apr-2026 10:15 AM,Accepted-AOC,L1,12-May-2026 08:55 PM,,,,,,,,,,,,,,,,AOC
