Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2733/EE TENDER/KUSHINAGAR,2026_REDUP_1140270_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,752.0,Nil,Nil,No,24-Apr-2026 09:00 AM,06-May-2026 03:00 PM,24-Apr-2026 09:00 AM,06-May-2026 12:00 PM,NA ,NA ,24-Apr-2026 09:00 AM,06-May-2026 12:00 PM,08-May-2026 02:00 PM,"24,000",Yes,fixed,,Nil,Nil,1.0,Date,Date,,EE KUSHINAGAR,EE KUSHINAGAR,Vikas Khand Padrauna ke gram Koharvaliya me mukhya road se Raghunath Tripathi School tak CC road nirman karya.,Vikas Khand Padrauna ke gram Koharvaliya me mukhya road se Raghunath Tripathi School tak CC road nirman karya.,Please refer Tender documents. ,NA ,"12,11,000",Civil Works,NA ,Tender,90.0,90.0,WORK,274403.0,NA ,NA ,NA ,EE KUSHINAGAR,No ,No,AOC,1,6087118,M/S A P S CONSTRUCTION COMPANY,05-May-2026 11:13 AM,Accepted-AOC,L1,25-May-2026 07:36 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1140270_10,2733/EE TENDER/KUSHINAGAR,Vikas Khand Padrauna ke gram Koharvaliya me mukhya road se Raghunath Tripathi School tak CC road nirman karya.,1.0,6087118.0,M/S A P S CONSTRUCTION COMPANY,INR,100.0,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,25-May-2026 06:21 PM,finsummary_2129439.pdf (53.01 KB),Finance,Bid Opening Summary,Praveen Kumar,08-May-2026 03:06 PM,,BOQ Comparative Chart,Technical,Bid Opening Summary,Virendra Kumar Pandey,07-May-2026 01:54 PM,,25-May-2026,INR 100,90.0,Virendra Kumar Pandey,25-May-2026 07:36 PM,techsu.pdf (869.00 KB),EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,08-May-2026 12:12 PM,08-May-2026 02:00 PM,techsummary_2129439.pdf (944.88 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,6089628,M/S SPS CONSTRUCTION COMPANY,05-May-2026 11:50 AM,Rejected-Finance,L2,25-May-2026 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
