Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,4404/EE RED Ayodhya/25-26 Dt 06/01/2026,2026_REDUP_1113578_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"EE RED Ayodhya, Vikas Bhawan, Ayodhya","EE RED Ayodhya, Vikas Bhawan, Ayodhya","Under District Ayodhya, Installation of Sports Equipment (Swing) at Block Mashoudha Me Primary School, Purkalandar, Sports Equipment (Swing) Installation Work and Development Block Mashoudha Me Primary School, Palia Risali, Sports Equipment Lot No 1","Under District Ayodhya, Installation of Sports Equipment (Swing) at Block Mashoudha Me Primary School, Purkalandar, Sports Equipment (Swing) Installation Work and Development Block Mashoudha Me Primary School, Palia Risali, Sports Equipment Lot No 1",Please refer Tender documents. ,NA ,"10,20,000",Civil Works,NA ,Tender,90.0,90.0,AYODHYA,224001.0,"EE RED Ayodhya, Vikas Bhawan, Ayodhya ","EE RED Ayodhya, Vikas Bhawan, Ayodhya  ",10-Feb-2026 11:00 AM ,"EE RED Ayodhya, Vikas Bhawan, Ayodhya",No ,No,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,08-Feb-2026 02:00 PM,17-Feb-2026 03:00 PM,08-Feb-2026 02:00 PM,17-Feb-2026 12:00 PM,NA ,NA ,08-Feb-2026 02:00 PM,17-Feb-2026 12:00 PM,06-Mar-2026 12:00 PM,"20,400",No,percentage,2.0%,Nil,Nil,"1,180",Nil,Nil,No,1.0,SBI Bank,AOC,Technical,Summary,Munesh Kumar Lodhi,18-Feb-2026 09:41 PM,,Er M K Lodhi EE RED Ayodhya,Internal,,Mahendra Kumar,14-May-2026 07:28 PM,finsummary_2062190.pdf (865.41 KB),Finance,Summary,Munesh Kumar Lodhi,09-Mar-2026 02:11 PM,,BOQ Comparative Chart,Er M K Lodhi EE RED Ayodhya,Internal,"Er Munesh Kumar Lodhi EE RED Ayodhya, Er M K Singh AE RED Ayodhya, Mr Harendra Kumar DAO RED Ayodhya",Mahendra Kumar,28-Feb-2026 09:26 AM,06-Mar-2026 12:00 PM,techsummary_2062190.pdf (8030.67 KB),14-May-2026,"INR 1,202,071",90.0,Mahendra Kumar,14-May-2026 08:24 PM,4404_1.pdf (865.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,2026_REDUP_1113578_1,4404/EE RED Ayodhya/25-26 Dt 06/01/2026,"Under District Ayodhya, Installation of Sports Equipment (Swing) at Block Mashoudha Me Primary School, Purkalandar, Sports Equipment (Swing) Installation Work and Development Block Mashoudha Me Primary School, Palia Risali, Sports Equipment Lot No 1",1.0,5861951.0,NEERAJ KUMAR SINGH CONTRACTOR,INR,"1,202,071",1,5862076,CHANDRA PRAKASH SINGH CONSTRUCTION,11-Feb-2026 01:13 PM,Rejected-Finance,Rejected,14-May-2026 07:28 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5861951,NEERAJ KUMAR SINGH CONTRACTOR,11-Feb-2026 12:49 PM,Accepted-AOC,AoC,14-May-2026 08:24 PM,AOC
