S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Tender Stage
1.0,6089587.0,M/s Jai Contraction,05-May-2026 11:52 AM,Rejected-Finance,HIGHER RATE QUOTED,16-May-2026 10:51 AM,1.0,6085231.0,swastik traders,INR,"5,568,646",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur,2026_UPIDM_1141050_1,01/SE/TC KNP/2025-26,CC WORK AT RAJAPUR,23-May-2026,"INR 5,568,646",60.0,Nagendra Kumar,20-May-2026 12:55 PM,aocrajapurccwork.pdf (318.00 KB),FINANCIAL BID ACCEPTED,Nagendra kumar Gautam,Internal,NAGENDRA KUMAR GAUTAM,Nagendra Kumar,16-May-2026 10:51 AM,finsummary_2130702.pdf (1963.03 KB),Technical,TECHNICAL BID OPENED,Nagendra Kumar,06-May-2026 04:44 PM,technical_2130702.pdf,Nagendra kumar Gautam,Internal,SE TWC KANPUR,Nagendra Kumar,06-May-2026 04:50 PM,06-May-2026 05:00 PM,techsummary_2130702.pdf (5653.45 KB),Finance,financial opened,Nagendra Kumar,16-May-2026 10:43 AM,finance_2130702.pdf,BOQ Comparative Chart,AOC,CC WORK AT RAJAPUR,CC WORK AT RAJAPUR,AS PER NIT ,NA ,"48,25,350",Civil Works - Lift Irrigation Scheme,CANAL ,Tender,90.0,60.0,RAJAPUR PUMP CANAL,209402.0,NA ,NA ,NA ,OFFICE OF SUPRINTENDING ENGINEER TWC KANPUR,No ,No,"97,000",Yes,fixed,,Nil,Nil,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur,01/SE/TC KNP/2025-26,2026_UPIDM_1141050_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,24-Apr-2026 09:00 AM,06-May-2026 11:00 AM,24-Apr-2026 09:00 AM,05-May-2026 03:00 PM,24-Apr-2026 09:00 AM ,30-Apr-2026 03:00 PM ,24-Apr-2026 09:00 AM,05-May-2026 03:00 PM,06-May-2026 05:00 PM,SUPRINTENDING ENGINEER TWC KANPUR,OFFICE OF SUPRINTENDING ENGINEER TWC KANPUR,354.0,Nil,Nil,No,1.0,SBI Bank,1,BIS /Mfg lic /Dealership ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,,1.0,Fee/PreQual/Technical,.pdf,Technical,AOC
2.0,6089984.0,SHIV RAM ENTERPRISES,05-May-2026 12:18 PM,Rejected-Finance,HIGHER RATE QUOTED,16-May-2026 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,2.0,Finance,.xls,financial,AOC
3.0,6085231.0,swastik traders,05-May-2026 08:52 AM,Accepted-AOC,FINANCIAL BID ACCEPTED,20-May-2026 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Machinery Details ,NIC UPSU ,NIC UPSU Lucknow ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,AOC
