Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
20-May-2026,"INR 251,652.24",30.0,RAKESH KUMAR,20-May-2026 11:01 AM,03.pdf (274.00 KB),"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||LGC, etawah",2026_UPIDC_1129451_3,02/EE/Acction/2025-26,"Silt Auction from canal banks of Gangsi Dy. From Km. 34.000 to 35.500, for F.Y. 2025-26.",1.0,6013439.0,DALVIR SINGH THEKEDAR,INR,"251,652.24",1,6018632,BABA KEDARNATH ENTERPRISES,29-Mar-2026 03:49 PM,Rejected-Finance,COm,20-May-2026 10:59 AM,Finance,All Admitted,RAKESH KUMAR,20-May-2026 10:53 AM,,BOQ Comparative Chart,RAKESH KUMAR,Internal,RAKESH KUMAR,RAKESH KUMAR,08-Apr-2026 03:02 PM,08-Apr-2026 04:00 PM,techsummary_2106818.pdf (113.30 KB),Technical,TECNICAL,RAKESH KUMAR,08-Apr-2026 02:44 PM,technical_2106818.pdf,Rakesh Kumar,Internal,,RAKESH KUMAR,20-May-2026 10:59 AM,finsummary_2106818.pdf (274.28 KB),AOC,"Silt Auction from canal banks of Gangsi Dy. From Km. 34.000 to 35.500, for F.Y. 2025-26.","Silt Auction from canal banks of Gangsi Dy. From Km. 34.000 to 35.500, for F.Y. 2025-26.",Please refer Tender documents. ,NA ,"1,44,000",Civil Works - Canal,NA ,Tender,90.0,30.0,Etawah,206001.0,NA ,NA ,NA ,Etawah,No ,No,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||LGC, etawah",02/EE/Acction/2025-26,2026_UPIDC_1129451_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"21,000",No,fixed,,Nil,Nil,25-Mar-2026 11:00 AM,30-Mar-2026 01:00 PM,25-Mar-2026 11:00 AM,30-Mar-2026 12:00 PM,NA ,NA ,25-Mar-2026 11:00 AM,30-Mar-2026 12:00 PM,08-Apr-2026 04:00 PM,590.0,Nil,Nil,No,Executive Engineer,Executive Engineer Etawah Division Lower Ganga Canal Etawah,1.0,Fee/PreQual/Technical,.pdf,Docment,AOC
,,,,,,,,,,,,,,,2,6013439,DALVIR SINGH THEKEDAR,29-Mar-2026 04:28 PM,Accepted-AOC,Com,20-May-2026 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC
,,,,,,,,,,,,,,,3,6016707,M/S RAM KHILADI,28-Mar-2026 04:58 PM,Rejected-Finance,Complete,20-May-2026 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,6016767,raj shree construction,30-Mar-2026 11:54 AM,Rejected-Finance,Complete,20-May-2026 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,6018487,SHREE SHYAMLA TRADERS,29-Mar-2026 02:50 PM,Rejected-Finance,Complete,20-May-2026 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
