Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 2671 date 16-03-2026,2026_REDUP_1143696_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,500",Nil,Nil,No,1.0,SBI Bank,"42,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,pdf,eeredallahabad,eeredallahabad,29-Apr-2026 05:15 PM,05-May-2026 01:00 PM,29-Apr-2026 05:15 PM,05-May-2026 12:50 PM,NA ,NA ,29-Apr-2026 05:15 PM,05-May-2026 12:50 PM,14-May-2026 01:00 PM,Construction of CC Road and nali at Lauther road par Jain Hospital se Ravindra Tripathi house to Jawahar Lala Srivastava and S H Singh house,Construction of CC Road and nali at Lauther road par Jain Hospital se Ravindra Tripathi house to Jawahar Lala Srivastava and S H Singh house,Please refer Tender documents. ,NA ,"20,51,000",Civil Works,NA ,Tender,90.0,NA ,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,AOC,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,12-May-2026 07:39 PM,14-May-2026 01:00 PM,techsummary_2136484.pdf (417.12 KB),Finance,d,Satyaprakash Mishra,14-May-2026 06:59 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,14-May-2026 07:03 PM,finsummary_2136484.pdf (1108.44 KB),Technical,d,Satyaprakash Mishra,12-May-2026 07:27 PM,,1,6085588,ABHISHEK ASSOCIATE,03-May-2026 07:02 PM,Accepted-AOC,accepted,14-May-2026 07:06 PM,1.0,6085588.0,ABHISHEK ASSOCIATE,INR,"2,064,784.58",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1143696_3,Notice No. 2671 date 16-03-2026,Construction of CC Road and nali at Lauther road par Jain Hospital se Ravindra Tripathi house to Jawahar Lala Srivastava and S H Singh house,14-May-2026,"INR 2,064,784.58",90.0,Satyaprakash Mishra,14-May-2026 07:06 PM,jain.pdf (1108.00 KB),AWARD OF CONTRACT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6086423,GAURAV ASSOCIATE,04-May-2026 09:06 AM,Rejected-Finance,Higher,14-May-2026 07:03 PM,,,,,,,,,,,,,,,,,AOC
