S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5819038.0,KRISHN CONSTRUCTION,22-Jan-2026 02:01 PM,Rejected-Finance,L3,13-Mar-2026 11:17 AM,1.0,5818192.0,M/S AZAD CONSTRUCTION,INR,"2,618,863.69",Yamuna Expressway Industrial Development Authority,2026_YEIDA_1105538_2,YEA/GM(PROJECT)/2025/453 DT-09/01/2026,Construction of E- library room in village chowki khwajpur . WC-06,13-Mar-2026,"INR 2,618,863.69",120.0,BHARAM PAL SINGH,04-May-2026 02:57 PM,453_2.pdf (939.00 KB),AOC,Committee,Internal,Committee,BHARAM PAL SINGH,13-Mar-2026 11:17 AM,finsummary_2039860.pdf (1068.18 KB),Technical,UNDER EVALUATION,BHARAM PAL SINGH,23-Feb-2026 11:42 AM,,Committee,Internal,Committee,BHARAM PAL SINGH,23-Feb-2026 12:26 PM,23-Feb-2026 12:50 PM,techsummary_2039860.pdf (713.71 KB),Finance,UNDER EVALUATION,BHARAM PAL SINGH,13-Mar-2026 11:14 AM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",Construction of E- library room in village chowki khwajpur . WC-06,Construction of E- library room in village chowki khwajpur . WC-06,Please refer Tender documents. ,NA ,"32,33,165",Civil Works,NA ,Tender,90.0,120.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"E- TEDER CELL ,2ND FLOOR , YEIDA OFFICE",No ,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/453 DT-09/01/2026,2026_YEIDA_1105538_2,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,12-Jan-2026 06:55 PM,23-Jan-2026 11:00 AM,12-Jan-2026 06:55 PM,22-Jan-2026 05:00 PM,NA ,NA ,12-Jan-2026 06:55 PM,22-Jan-2026 05:00 PM,23-Feb-2026 12:50 PM,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"64,800",No,fixed,,Nil,Nil,1.0,SBI Bank,920.0,Nil,Nil,No,AOC
2.0,5818192.0,M/S AZAD CONSTRUCTION,22-Jan-2026 10:51 AM,Accepted-AOC,L1,04-May-2026 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,5819282.0,M/s V P Enterprises,22-Jan-2026 04:34 PM,Rejected-Finance,L2,13-Mar-2026 11:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
