S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,10-Mar-2026 09:00 AM,16-Mar-2026 12:30 PM,10-Mar-2026 09:00 AM,16-Mar-2026 09:00 AM,NA ,NA ,10-Mar-2026 09:00 AM,16-Mar-2026 09:00 AM,19-Mar-2026 05:00 PM,"Vishisht Atithigrih (Yamuna) Dalibagh mein 10 kamron ki shatigrast wooden flooring ko hatakar tiles lagana, bathroom ki purani fittings badalna va tiles todkar punah tiles lagana, wall paneling karna, shatigrast satah par plaster evam satah sudha","Vishisht Atithigrih (Yamuna) Dalibagh mein 10 kamron ki shatigrast wooden flooring ko hatakar tiles lagana, bathroom ki purani fittings badalna va tiles todkar punah tiles lagana, wall paneling karna, shatigrast satah par plaster evam satah sudha",Please refer Tender documents. ,NA ,"21,48,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,11-Mar-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,"2,14,800",No,fixed,,Nil,Nil,950.0,Nil,Nil,No,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,424/E-Tender/2025-26 dt. 27.02.2026,2026_PWDBL_1122613_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,1,Fee/PreQual/Technical,.pdf,All documents scan original copies,AOC,Finance,Evaluation Letter,DILIP KUMAR,19-Mar-2026 05:31 PM,finance_2090622.pdf,BOQ Comparative Chart,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow,DILIP KUMAR,19-Mar-2026 04:22 PM,19-Mar-2026 05:00 PM,techsummary_2090622.pdf (566.49 KB),Technical,Evaluation Letter,DILIP KUMAR,19-Mar-2026 04:18 PM,technical_2090622.pdf,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,18-Jun-2026 12:41 AM,finsummary_2090622.pdf (566.49 KB),18-May-2026,"INR 2,113,966",60.0,DILIP KUMAR,18-May-2026 03:32 PM,794.pdf (690.00 KB),AOC for Acceptance No 794 date 27.04.2026,1.0,5970558.0,M.K ENTERPRISES,INR,"2,113,966",Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1122613_1,424/E-Tender/2025-26 dt. 27.02.2026,"Vishisht Atithigrih (Yamuna) Dalibagh mein 10 kamron ki shatigrast wooden flooring ko hatakar tiles lagana, bathroom ki purani fittings badalna va tiles todkar punah tiles lagana, wall paneling karna, shatigrast satah par plaster evam satah sudha",1,5975230,A K T ASSOCIATES,16-Mar-2026 12:43 AM,Rejected-Finance,Financial bid Rejected due to L2,18-May-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5970558,M.K ENTERPRISES,16-Mar-2026 01:00 AM,Accepted-AOC,Financial bid is accepted at the Price Rs. 2113966.00 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,18-May-2026 03:32 PM,AOC
