S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage
1.0,6040917.0,DEVA CORPORATION,INR,"843,522",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1130882_1,3608/RED/Tender/25-26 Dated- 23.02.2026,"Ward no 23, Radha Krishna Vihar Ashram ke samne Kammodnagar Lehergird Jhansi main shree Arvind sahu ke makan se anuj Adjariya ji ke makan ki aur apex sadak va nali nirman karya.",1,6040917,DEVA CORPORATION,11-Apr-2026 11:50 AM,Accepted-AOC,Y,11-May-2026 12:03 PM,11-May-2026,"INR 843,522",60.0,RAJNEESH KUMAR,11-May-2026 12:03 PM,wardno23_radhakrishna.pdf (265.00 KB),FINAL,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,11-May-2026 12:00 PM,finsummary_2109799.pdf (265.14 KB),Technical,FINAL,RAJNEESH KUMAR,27-Apr-2026 04:08 PM,technical_2109799.pdf,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,27-Apr-2026 04:14 PM,02-May-2026 12:30 PM,techsummary_2109799.pdf (722.44 KB),Finance,final,RAJNEESH KUMAR,11-May-2026 11:58 AM,finance_2109799.pdf,BOQ Comparative Chart,AOC,EE RED Jhansi,EE RED Jhansi,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3608/RED/Tender/25-26 Dated- 23.02.2026,2026_REDUP_1130882_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Ward no 23, Radha Krishna Vihar Ashram ke samne Kammodnagar Lehergird Jhansi main shree Arvind sahu ke makan se anuj Adjariya ji ke makan ki aur apex sadak va nali nirman karya.","Ward no 23, Radha Krishna Vihar Ashram ke samne Kammodnagar Lehergird Jhansi main shree Arvind sahu ke makan se anuj Adjariya ji ke makan ki aur apex sadak va nali nirman karya.",Please refer Tender documents. ,NA ,"8,20,000",Civil Works,NA ,Tender,90.0,60.0,"Ward no 23, Radha Krishna Vihar Ashram ke samne Ka",284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,1.0,date extand,Date,,1,Fee/PreQual/Technical,.pdf,sbd,"41,000",Yes,fixed,,Nil,Nil,27-Mar-2026 04:00 PM,13-Apr-2026 03:30 PM,27-Mar-2026 04:00 PM,13-Apr-2026 12:00 PM,NA ,NA ,27-Mar-2026 04:00 PM,13-Apr-2026 12:00 PM,02-May-2026 12:30 PM,854.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,2,6040923,LUCKY ENTERPRISES,11-Apr-2026 11:55 AM,Rejected-Finance,N,11-May-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,AOC
