Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,2026_REDUP_1118551_1,1182 /EE RED/ 2025-26 DATE- 17.01.2026,"Vikash khan Ghorawal ke Gra, sataha ke nakbai me ram jatan ke ghar se ram charan ke ghar tak sampark marge ka nirman",1.0,5918288.0,SHRI LAXMI CONSTRUCTION,INR,"1,694,894.89",1,5918428,ANJALI CONSTRUCTION,24-Feb-2026 08:37 PM,Rejected-Finance,L3,12-May-2026 04:43 PM,12-May-2026,"INR 1,694,894.89",90.0,Sanjay Srivastava,12-May-2026 04:45 PM,RAM.pdf (193.00 KB),L1,EE RED,Internal,AE DAO,Sanjay Srivastava,12-May-2026 04:43 PM,finsummary_2079117.pdf (193.14 KB),Technical,ATTACHED,Jayprakash Dhawan,10-Apr-2026 08:03 AM,technical_2079117.pdf,EE,Internal,AE DAO,Jayprakash Dhawan,10-Apr-2026 08:10 AM,10-Apr-2026 10:00 AM,techsummary_2079117.pdf (556.47 KB),Finance,ATTACHED,Sanjay Srivastava,12-May-2026 04:39 PM,finance_2079117.pdf,BOQ Comparative Chart,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,1182 /EE RED/ 2025-26 DATE- 17.01.2026,2026_REDUP_1118551_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED,URMORA SONBHADRA,"2,354",Nil,Nil,No,"Vikash khan Ghorawal ke Gra, sataha ke nakbai me ram jatan ke ghar se ram charan ke ghar tak sampark marge ka nirman","Vikash khan Ghorawal ke Gra, sataha ke nakbai me ram jatan ke ghar se ram charan ke ghar tak sampark marge ka nirman",AS PER NIT AND T1 ,NA ,,Civil Works,NA ,Tender,90.0,90.0,GHORAWAL,231216.0,NA ,NA ,NA ,EE RED,No ,No,1.0,SBI Bank,"40,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TECH DOC,20-Feb-2026 03:00 PM,26-Feb-2026 02:00 PM,20-Feb-2026 03:00 PM,26-Feb-2026 12:00 PM,NA ,NA ,20-Feb-2026 03:00 PM,26-Feb-2026 12:00 PM,10-Apr-2026 10:00 AM,AOC
,,,,,,,,,2,5918380,SHIV MAURYA CONSTRUCTION,24-Feb-2026 07:58 PM,Rejected-Finance,L2,12-May-2026 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FC DOC,,,,,,,,,,AOC
,,,,,,,,,3,5918288,SHRI LAXMI CONSTRUCTION,24-Feb-2026 07:37 PM,Accepted-AOC,L1,12-May-2026 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
