Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",2026_UPIDC_1129127_2,07/SE-IV/2025-26,Lot 2- Restoration of Khaksis Distributary between Km 0.000 and Km 16.200 and demarcation of canal land in District Jalaun.,1.0,6043564.0,ARUN CONSTRUCTION,INR,"31,686,022.19",1,6043564,ARUN CONSTRUCTION,13-Apr-2026 02:33 PM,Accepted-AOC,L1,05-May-2026 04:52 PM,05-May-2026,"INR 31,686,022.19",540.0,Brijesh Kumar,05-May-2026 04:52 PM,AOCLOT_2.pdf (261.00 KB),AOC,Brijesh Kumar,Internal,jitendra kanaujia,Brijesh Kumar,21-Apr-2026 05:03 PM,23-Apr-2026 11:30 AM,techsummary_2108843.pdf (311.92 KB),Finance,All bids are admitted,Brijesh Kumar,05-May-2026 04:43 PM,,BOQ Comparative Chart,Brijesh Kumar,Internal,Jitendra Kanaujia,Brijesh Kumar,05-May-2026 04:48 PM,finsummary_2108843.pdf (1352.57 KB),Technical,All bids are admitted,Brijesh Kumar,13-Apr-2026 03:49 PM,,AOC,"6,980",Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,27-Mar-2026 10:00 AM,13-Apr-2026 03:30 PM,27-Mar-2026 10:00 AM,13-Apr-2026 03:00 PM,NA ,NA ,27-Mar-2026 10:00 AM,13-Apr-2026 03:00 PM,23-Apr-2026 11:30 AM,"Superintending Engineer, Fourth Circle, Irrigation","Office of the Superintending Engineer, Fourth Circle civil line station road Jhansi","U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",07/SE-IV/2025-26,2026_UPIDC_1129127_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Lot 2- Restoration of Khaksis Distributary between Km 0.000 and Km 16.200 and demarcation of canal land in District Jalaun.,Lot 2- Restoration of Khaksis Distributary between Km 0.000 and Km 16.200 and demarcation of canal land in District Jalaun.,Please refer Tender documents. ,NA ,"4,22,00,000",Civil Works - Canal,NA ,Tender,90.0,540.0,Jalaun,285123.0,NA ,NA ,NA ,"Office of the Superintending Engineer, Fourth Circ",No ,No,"8,44,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6043947,M/s Bajrang Construction & Suppliars,13-Apr-2026 01:21 PM,Rejected-AOC,L4,05-May-2026 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,Finance BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6042732,Pratap Construction,13-Apr-2026 02:04 PM,Rejected-AOC,L2,05-May-2026 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6044096,RAJ PAL SINGH CONTRACTOR,13-Apr-2026 01:50 PM,Rejected-Technical,Not qualified due to insufficient Similar work experience certificate uploaded as per eligibility criteria,21-Apr-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6043476,VELJI RATNA SORATHIA INFRA PVT. LTD,13-Apr-2026 01:20 PM,Rejected-AOC,L3,05-May-2026 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
