Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,1017/RED/Tender-BVN(J) Jhansi/2025-26 Dt. 11.02.2026,2026_REDUP_1129610_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"85,000",Yes,fixed,,Nil,Nil,24-Mar-2026 02:00 PM,20-Apr-2026 03:30 PM,24-Mar-2026 02:00 PM,20-Apr-2026 03:00 PM,NA ,NA ,24-Mar-2026 02:00 PM,20-Apr-2026 03:00 PM,08-May-2026 12:30 PM,1.0,SBI Bank,SE RED Circle Jhansi,SE RED Circle Jhansi,1,Fee/PreQual/Technical,.pdf,sbd,ward no 31 mahendrapuri colony main shree devi ke makan se hote huye dinesh kumar ke makan tak apex sadakabam nali nirman,ward no 31 mahendrapuri colony main shree devi ke makan se hote huye dinesh kumar ke makan tak apex sadakabam nali nirman.,Please refer Tender documents. ,NA ,"42,20,000",Civil Works,NA ,Tender,90.0,120.0,ward no 31 mahendrapuri colony main shree devi ke,284003.0,NA ,NA ,NA ,SE RED Circle Jhansi,No ,No,"2,354",Nil,Nil,No,AOC,Rajneesh Kumar,Internal,SE JHANSI EE JHANSI EE JALAUN DAO JHANSI,RAJNEESH KUMAR,25-May-2026 05:50 PM,finsummary_2107112.pdf (338.51 KB),Technical,final,RAJNEESH KUMAR,02-May-2026 05:52 PM,technical_2107112.pdf,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,02-May-2026 05:58 PM,08-May-2026 12:30 PM,techsummary_2107112.pdf (327.97 KB),Finance,final,RAJNEESH KUMAR,25-May-2026 05:42 PM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1129610_1,1017/RED/Tender-BVN(J) Jhansi/2025-26 Dt. 11.02.2026,ward no 31 mahendrapuri colony main shree devi ke makan se hote huye dinesh kumar ke makan tak apex sadakabam nali nirman,1.0,6049934.0,RAJKUMAR GOSWAMI THEKEDAR,INR,"4,174,790",1,6049934,RAJKUMAR GOSWAMI THEKEDAR,17-Apr-2026 05:50 PM,Accepted-AOC,Y,25-May-2026 05:51 PM,25-May-2026,"INR 4,174,790",120.0,RAJNEESH KUMAR,25-May-2026 05:51 PM,wardno31mahendrapuri.pdf (339.00 KB),FINAL,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6054122,SAMRIDDHI CONSTRUCTION & SUPPLIER,17-Apr-2026 03:35 PM,Rejected-Finance,N,25-May-2026 05:50 PM,,,,,,,,AOC
