Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,1658/RED/Tender/2025-26 Dated 12-02-2026,2026_REDUP_1124924_34,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,sbd,1.0,SBI Bank,14-Mar-2026 10:00 AM,24-Mar-2026 12:30 PM,14-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,NA ,NA ,14-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,07-Apr-2026 12:00 PM,EXECUTIVE ENGINEER,Near Jahnvi Hotel Putlighar Mirzapur,"1,145",Nil,Nil,No,VIKASH KHAND LALGANG ME GRAM PANCHYT CHITAG KOTHI DAMAR ROD SE CHITAG SE BANTI TIVARI KE GHAR TAK SAMPARK MARG NIRMAN LEPAN WORK,VIKASH KHAND LALGANG ME GRAM PANCHYT CHITAG KOTHI DAMAR ROD SE CHITAG SE BANTI TIVARI KE GHAR TAK SAMPARK MARG NIRMAN LEPAN WORK,Please refer Tender documents. ,NA ,"38,97,000",Civil Works,NA ,Tender,90.0,90.0,Mirzapur,231001.0,NA ,NA ,NA ,Executive Engineer RED Division Mirzapur,No ,No,"78,000",Yes,fixed,,Nil,Nil,AOC,1,5986407,M/S DASHMESH ENTERPRISES,20-Mar-2026 09:41 PM,Rejected-Finance,l2,14-May-2026 04:34 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,2026_REDUP_1124924_34,1658/RED/Tender/2025-26 Dated 12-02-2026,VIKASH KHAND LALGANG ME GRAM PANCHYT CHITAG KOTHI DAMAR ROD SE CHITAG SE BANTI TIVARI KE GHAR TAK SAMPARK MARG NIRMAN LEPAN WORK,1.0,5981595.0,M/S P. D. CONSTRUCTION,INR,"3,853,839",EE,Internal,DAO,Vimal Kumar,14-May-2026 04:34 PM,finsummary_2097229.pdf (22.93 KB),Finance,finan,Vimal Kumar,07-Apr-2026 07:01 PM,,BOQ Comparative Chart,Technical,tech,Vimal Kumar,28-Mar-2026 01:37 PM,,16-May-2026,"INR 3,853,839",90.0,Vimal Kumar,16-May-2026 12:24 PM,chitagkodi.pdf (279.00 KB),EE,Internal,DAOAE,Vimal Kumar,30-Mar-2026 05:24 PM,07-Apr-2026 12:00 PM,techsummary_2097229.pdf (259.11 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5981595,M/S P. D. CONSTRUCTION,22-Mar-2026 01:59 PM,Accepted-AOC,AOC,16-May-2026 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
