S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,DD - Demand Draft,Sansad Nidhi Yojna ke Antargat Kachehari Parisar ward Paltan Bazar Block Sadar Janpad Pratapgarh me Water A.T.M. Adhishthapan ka Nirman Karya,Sansad Nidhi Yojna ke Antargat Kachehari Parisar ward Paltan Bazar Block Sadar Janpad Pratapgarh me Water A.T.M. Adhishthapan ka Nirman Karya,Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,90.0,120.0,Pratapgarh,230001.0,EE Office Pratapgarh ,Near Renu Verma Nursing Home front of Angil School Shiv ji puram Pratapgarh ,14-May-2026 12:00 PM ,EE UPSCIDCO Pratapgarh,No ,No,"1,652",EE UPSCIDCO,Pratapgarh,No,11-May-2026 09:00 AM,16-May-2026 03:00 PM,11-May-2026 09:00 AM,16-May-2026 02:00 PM,NA ,NA ,11-May-2026 09:00 AM,16-May-2026 02:00 PM,18-May-2026 06:30 PM,EE UPSCIDCO Pratapgarh,Near Renu Verma Nursing Home front of Angil School Shiv ji puram Pratapgarh,"24,000",No,fixed,,EE UPSCIDCO,Pratapgarh,1.0,Fee/PreQual/Technical,.pdf,NIT EMD etc,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Allahabad,69/EE/PBH/Sansad Nidhi/E-Tender/26-27,2026_SCIDC_1147250_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Anil Kumar,Internal,Shahbaz Ahmad Lalji Tiwari,Anil Kumar,18-May-2026 06:23 PM,18-May-2026 06:30 PM,techsummary_2146145.pdf (1029.40 KB),Finance,Fn,Anil Kumar,30-May-2026 04:37 PM,finance_2146145.pdf,BOQ Comparative Chart,Anil Kumar,Internal,Shahbaz Ahmad Lalji Tiwari,Anil Kumar,30-May-2026 04:41 PM,finsummary_2146145.pdf (1187.44 KB),Technical,Summary,Anil Kumar,18-May-2026 06:20 PM,technical_2146145.pdf,1.0,6118226.0,shanvika contractor & suppliers,INR,"1,197,880.2",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Allahabad,2026_SCIDC_1147250_1,69/EE/PBH/Sansad Nidhi/E-Tender/26-27,Sansad Nidhi Yojna ke Antargat Kachehari Parisar ward Paltan Bazar Block Sadar Janpad Pratapgarh me Water A.T.M. Adhishthapan ka Nirman Karya,1.0,6118985.0,M/S JAI YOGI BEER BABA CONSTRUCTION,15-May-2026 08:06 PM,Rejected-Finance,IInd Lowest Rate,30-May-2026 04:41 PM,30-May-2026,"INR 1,197,880.2",120.0,Anil Kumar,30-May-2026 04:46 PM,WO.pdf (521.00 KB),Letter No-83 Date 19.05.2026,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6118226.0,shanvika contractor & suppliers,15-May-2026 02:20 PM,Accepted-AOC,Ist Lowest Rate,30-May-2026 04:46 PM,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
