Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi",2026_UPIDC_1127329_2,06/SE/2025-26,Earthwork for increasing capacity of Old Garai River from Km 0.000 To Km 12.600,1.0,6003119.0,M/S POOJA ENTERPRISES,INR,"7,193,785.77",1,6003342,ARUN ENTERPRISES,24-Mar-2026 01:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Apr-2026 04:19 PM,20-May-2026,"INR 7,193,785.77",90.0,Gyan Chand Singh,20-May-2026 04:39 PM,DSOldGarai.pdf (289.00 KB),Date of Start Issue,1.0,Tender Revocation,Tender Revocation,08-Apr-2026 07:01 PM,Tech_2_0804.pdf ,415.78,Technical Opening,Gyan Chand Singh,Internal,Seemant,Gyan Chand Singh,20-May-2026 04:35 PM,finsummary_2102584.pdf (161.93 KB),Technical,Technical Evaluation,Gyan Chand Singh,16-Apr-2026 04:19 PM,technical_2102584.pdf,Gyan Chand Singh,Internal,Seemant,Gyan Chand Singh,16-Apr-2026 04:21 PM,17-Apr-2026 04:25 PM,techsummary_2102584.pdf (161.92 KB),Finance,Financial Evaluation,Gyan Chand Singh,20-May-2026 04:16 PM,finance_2102584.pdf,BOQ Comparative Chart,AOC,"2,354",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,Earthwork for increasing capacity of Old Garai River from Km 0.000 To Km 12.600,Earthwork for increasing capacity of Old Garai River from Km 0.000 To Km 12.600,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Village Mahmoodpur Post Lauda Chandauli,232104.0,NA ,NA ,NA ,"SE, Irrigation Works Circle Varanasi",No ,No,19-Mar-2026 11:00 AM,24-Mar-2026 03:00 PM,19-Mar-2026 11:00 AM,24-Mar-2026 02:00 PM,NA ,NA ,19-Mar-2026 11:00 AM,24-Mar-2026 02:00 PM,17-Apr-2026 04:25 PM,1.0,SBI Bank,"2,04,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi",06/SE/2025-26,2026_UPIDC_1127329_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"SE, Irrigation Works Circle Varanasi","SE, Irrigation Works Circle Varanasi",AOC
,,,,,,,,,2,6003039,BHAMAR SINGH,24-Mar-2026 12:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Apr-2026 04:19 PM,,,,,,,,2.0,Reevaluation,Reevaluation,16-Apr-2026 04:07 PM,Tech_222.pdf ,430.74,Technical Opening,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6002398,M/S BADRI SINGH,24-Mar-2026 10:22 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Apr-2026 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6003119,M/S POOJA ENTERPRISES,24-Mar-2026 12:52 PM,Accepted-AOC,First Lowest,20-May-2026 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6000693,M/S TARAI CONSTRUCTION,23-Mar-2026 06:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Apr-2026 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,6002459,PUNITA CONSTRUCTION AND SUPPLIERS,24-Mar-2026 10:46 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Apr-2026 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,6003053,VESTOLUCK CONSTRUCTION AND SUPPLIERS,24-Mar-2026 12:43 PM,Rejected-AOC,Second Lowest,20-May-2026 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
