S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5918444.0,ANJALI CONSTRUCTION,INR,"1,269,559.12",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,2026_REDUP_1118609_1,1182 /EE RED/ 2025-26 DATE- 17.01.2026,V.K Ghorawal ke gram P Naugao Nand lal ke rajaswa Gram Bhain me Buddh Asthal ke pass barat ghar and boundary wall ka nirman,1,5918444,ANJALI CONSTRUCTION,24-Feb-2026 08:41 PM,Accepted-AOC,L1,26-May-2026 01:29 PM,26-May-2026,"INR 1,269,559.12",90.0,Jayprakash Dhawan,26-May-2026 01:29 PM,halw.pdf (290.00 KB),L1,EE RED SBR,Internal,AE DAO,Jayprakash Dhawan,09-Apr-2026 04:07 PM,10-Apr-2026 10:00 AM,techsummary_2079264.pdf (432.10 KB),Finance,attached,Jayprakash Dhawan,26-May-2026 01:24 PM,finance_2079264.pdf,BOQ Comparative Chart,EE RED,Internal,AE DAO,Jayprakash Dhawan,26-May-2026 01:28 PM,finsummary_2079264.pdf (289.66 KB),Technical,AE DAO,Jayprakash Dhawan,09-Apr-2026 04:05 PM,technical_2079264.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,tech doc,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,1182 /EE RED/ 2025-26 DATE- 17.01.2026,2026_REDUP_1118609_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,767.0,Nil,Nil,No,EE RED,URMORA SONBHADRA,"30,000",No,fixed,,Nil,Nil,1.0,SBI Bank,20-Feb-2026 04:00 PM,26-Feb-2026 02:00 PM,20-Feb-2026 04:00 PM,26-Feb-2026 12:00 PM,NA ,NA ,20-Feb-2026 04:00 PM,26-Feb-2026 12:00 PM,10-Apr-2026 10:00 AM,V.K Ghorawal ke gram P Naugao Nand lal ke rajaswa Gram Bhain me Buddh Asthal ke pass barat ghar and boundary wall ka nirman,V.K Ghorawal ke gram P Naugao Nand lal ke rajaswa Gram Bhain me Buddh Asthal ke pass barat ghar and boundary wall ka nirman,AS PER NIT AND T1 ,NA ,,Civil Works,NA ,Tender,90.0,90.0,GHORAWAL,231216.0,NA ,NA ,NA ,EE RED,No ,No,AOC
,,,,,,,,,2,5918395,SHIV MAURYA CONSTRUCTION,24-Feb-2026 08:04 PM,Rejected-Finance,L3,26-May-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,fc doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5918309,SHRI LAXMI CONSTRUCTION,24-Feb-2026 07:45 PM,Rejected-Finance,L2,26-May-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
