Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
04-May-2026,"INR 198,474,416.8",540.0,SURESH CHANDRA YADAV,04-May-2026 02:52 PM,Agr07.pdf (390.00 KB),Enclosed,1.0,6010625.0,M/s Yash Construction,INR,"198,474,416.8",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1128777_1,116/UPPCL/GM-1/2025-26/ETENDER Dated-16.03.2026,"Construction of Chief Minister Model Composite Vidyalaya Block Ghosi, Village-Piwatal, District-Mau (U.P.)",1,6010625,M/s Yash Construction,29-Mar-2026 02:32 PM,Accepted-AOC,Accept,04-May-2026 02:52 PM,Technical,Enclosed,SURESH CHANDRA YADAV,01-Apr-2026 04:07 PM,technical_2105262.pdf,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-19, Azamgarh, Accountant Unit-19, Azamgarh, General Manager (Technical), Lucknow",SURESH CHANDRA YADAV,02-Apr-2026 06:06 PM,finsummary_2105262.pdf (456.01 KB),Finance,Enclosed,SURESH CHANDRA YADAV,02-Apr-2026 06:03 PM,finance_2105262.pdf,BOQ Comparative Chart,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-19, Azamgarh, Accountant Unit19, Azamgarh, General Manager (Technical), Lucknow",SURESH CHANDRA YADAV,01-Apr-2026 04:10 PM,02-Apr-2026 03:00 PM,techsummary_2105262.pdf (929.44 KB),AOC,"17,700",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,BIDDOC,1.0,Electric Corporation Ltd.,Other,,"General Manager, Zone-1, Prayagraj","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230 /1A, Mehdaury, Telirayganj District-Prayagraj.","Construction of Chief Minister Model Composite Vidyalaya Block Ghosi, Village-Piwatal, District-Mau (U.P.)","Construction of Chief Minister Model Composite Vidyalaya Block Ghosi, Village-Piwatal, District-Mau (U.P.)",Please refer Tender documents. ,NA ,"20,15,17,000",Civil Works - Buildings,NA ,Tender,90.0,540.0,District-Mau (U.P.),275101.0,NA ,NA ,NA ,Prayagraj,No ,No,"40,31,000",No,fixed,,Nil,Nil,23-Mar-2026 11:00 AM,30-Mar-2026 03:00 PM,23-Mar-2026 11:00 AM,30-Mar-2026 02:00 PM,NA ,NA ,23-Mar-2026 11:00 AM,30-Mar-2026 02:00 PM,02-Apr-2026 03:00 PM,1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,116/UPPCL/GM-1/2025-26/ETENDER Dated-16.03.2026,2026_UPPRC_1128777_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,6021496,N K GUPTA,30-Mar-2026 11:48 AM,Rejected-AOC,Accept,04-May-2026 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
