Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,2026_SCIDC_1148308_1,27/EE/SRE/E-TENDER/2026-27,"Under Vidhayak Nidhi Yojna (Shri Devendra Nim ji, MLA) Construction of CC Road and Side Drain work from Rampal house to Vinod house and Related Gali Yogesh Farm at Vill Jhandhedi Block Rampur Maniharan, District- Saharanpur",1.0,6132571.0,KARAM VIR SINGH CONTRACTOR,INR,"329,625",1,6132571,KARAM VIR SINGH CONTRACTOR,20-May-2026 11:19 PM,Accepted-AOC,Being L1,30-May-2026 06:35 PM,05-Jun-2026,"INR 329,625",90.0,Vinod Kumar Kardam,30-May-2026 06:35 PM,aoc.pdf (843.00 KB),"AWARD OF CONTRACT for Construction of CC Road and Side Drain work from Rampal house to Vinod house and Related Gali Yogesh Farm at Vill Jhandhedi Block Rampur Maniharan, District- Saharanpur",Executive Engineer,Internal,"V.K. Kardam - E.E., M. Chandra - A.A.O.",Vinod Kumar Kardam,30-May-2026 06:33 PM,finsummary_2149340.pdf (327.53 KB),Technical,Technical_Evaluation_Summary,Vinod Kumar Kardam,23-May-2026 12:28 PM,technical_2149340.pdf,Executive Engineer,Internal,"V.K. Kardam - E.E., M. Chandra - A.A.O.",Vinod Kumar Kardam,23-May-2026 12:30 PM,23-May-2026 02:00 PM,techsummary_2149340.pdf (327.53 KB),Finance,Finance Bid Evaluation Summary,Vinod Kumar Kardam,30-May-2026 06:31 PM,finance_2149340.pdf,BOQ Comparative Chart,AOC,14-May-2026 12:00 PM,21-May-2026 11:00 AM,14-May-2026 12:00 PM,21-May-2026 10:00 AM,NA ,NA ,14-May-2026 12:00 PM,21-May-2026 10:00 AM,23-May-2026 02:00 PM,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"1,652",UPSCIDCO,SAHARANPUR,No,"Under Vidhayak Nidhi Yojna (Shri Devendra Nim ji, MLA) Construction of CC Road and Side Drain work from Rampal house to Vinod house and Related Gali Yogesh Farm at Vill Jhandhedi Block Rampur Maniharan, District- Saharanpur","Under Vidhayak Nidhi Yojna (Shri Devendra Nim ji, MLA) Construction of CC Road and Side Drain work from Rampal house to Vinod house and Related Gali Yogesh Farm at Vill Jhandhedi Block Rampur Maniharan, District- Saharanpur",Please refer Tender documents. ,NA ,"3,30,154",Civil Works,NA ,Tender,90.0,NA ,District Saharanpur,247001.0,NA ,NA ,NA ,Executive Engineer office,No ,No,1.0,RTGS - RTGS Payment,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,27/EE/SRE/E-TENDER/2026-27,2026_SCIDC_1148308_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"6,700",No,fixed,,UPSCIDCO,SAHARANPUR,Executive Engineer,"Executive Engineer office - H.No.-36 Surya Nagar, Near State Bank Colony, Delhi Road Saharanpur",AOC
,,,,,,,,,2,6131461,SATYA DEV CONSTRUCTION CO.,21-May-2026 05:30 AM,Rejected-Finance,Being L2,30-May-2026 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
