Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Assistant Engineer IV,LDSC Lucknow,"3,360",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,"Repairing of Nali, Mainhole, Sewage Cleaning for Resi. No 14/1 to T-I Block at Canal Colony, Cantt Road, Lucknow.(Lot No.08)","Repairing of Nali, Mainhole, Sewage Cleaning for Resi. No 14/1 to T-I Block at Canal Colony, Cantt Road, Lucknow.(Lot No.08)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,10.0,Canal Colony Lucknow,226001.0,NA ,NA ,NA ,canal Colony,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",09/AEIV/2025-26,2026_UPIDC_1118401_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,21-Feb-2026 12:00 PM,28-Feb-2026 03:00 PM,21-Feb-2026 12:00 PM,28-Feb-2026 12:00 PM,21-Feb-2026 12:00 PM ,28-Feb-2026 12:00 PM ,21-Feb-2026 12:00 PM,28-Feb-2026 12:00 PM,10-Mar-2026 10:00 AM,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,AOC,Technical,summary,deena nath maurya,09-Mar-2026 11:18 AM,technical_2078803.pdf,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,12-Mar-2026 01:46 PM,finsummary_2078803.pdf (1096.96 KB),Finance,Summary,deena nath maurya,12-Mar-2026 11:16 AM,finance_2078803.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,09-Mar-2026 03:57 PM,10-Mar-2026 10:00 AM,techsummary_2078803.pdf (1096.96 KB),13-Mar-2026,"INR 166,436.01",10.0,deena nath maurya,11-May-2026 12:08 PM,agno427.pdf (667.00 KB),AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2026_UPIDC_1118401_8,09/AEIV/2025-26,"Repairing of Nali, Mainhole, Sewage Cleaning for Resi. No 14/1 to T-I Block at Canal Colony, Cantt Road, Lucknow.(Lot No.08)",1.0,5939435.0,m/s mohd. zamil,INR,"166,436.01",1,5939377,Manoj Kumar Yadav,28-Feb-2026 11:57 AM,Rejected-AOC,L2,15-May-2026 05:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5939435,m/s mohd. zamil,28-Feb-2026 11:40 AM,Accepted-AOC,L1,11-May-2026 12:08 PM,AOC
