Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",08/AEIV/2025-26,2026_UPIDC_1109456_55,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,27-Jun-2026 12:07 AM,02-Feb-2026 03:00 PM,27-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,27-Jan-2026 12:00 PM ,02-Feb-2026 12:00 PM ,27-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,09-Feb-2026 10:00 AM,"3,240",No,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,"Water proofing work RHS roof of Dr. Ram Manohar Lohiya Parikalp Bhawan, Telibagh, Lucknow.(Lot No.55)","Water proofing work RHS roof of Dr. Ram Manohar Lohiya Parikalp Bhawan, Telibagh, Lucknow.(Lot No.55)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,15.0,"Parikalp Bhawan Telibagh, Lucknow.",226002.0,NA ,NA ,NA ,canal Colony,No ,No,Assistant Engineer IV,LDSC Lucknow,590.0,Nil,Nil,No,AOC,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,12-Feb-2026 01:14 PM,finsummary_2048877.pdf (1096.96 KB),Finance,Boq Summary,deena nath maurya,09-Feb-2026 03:02 PM,finance_2048877.pdf,BOQ Comparative Chart,1.0,5836684.0,M/S SAMRAT TRADERS,INR,"159,928.56",1,5835472,M/S JAITARA DEVELOPER,01-Feb-2026 11:46 AM,Rejected-AOC,L2,08-May-2026 05:40 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2026_UPIDC_1109456_55,08/AEIV/2025-26,"Water proofing work RHS roof of Dr. Ram Manohar Lohiya Parikalp Bhawan, Telibagh, Lucknow.(Lot No.55)",17-Feb-2026,"INR 159,928.56",15.0,deena nath maurya,08-May-2026 05:39 PM,agno411.pdf (668.00 KB),AOC,Technical,summary,deena nath maurya,06-Feb-2026 03:49 PM,technical_2048877.pdf,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,06-Feb-2026 04:19 PM,09-Feb-2026 10:00 AM,techsummary_2048877.pdf (1096.96 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5836684,M/S SAMRAT TRADERS,01-Feb-2026 09:02 PM,Accepted-AOC,L1,08-May-2026 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
