Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 1 (Civil) PWD Lucknow,136/Tender/2025-26 Date. 17.01.2026,2026_PWDBL_1110415_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"E.E. Maintenance Division No 1(Civil), PWD, Lko","OFFICE OF Executive Engineer, Maintenance Division No.-1 (Civil), PWD, Lucknow",29-Jan-2026 12:00 PM,06-Feb-2026 12:30 PM,30-Jan-2026 12:00 PM,06-Feb-2026 12:00 PM,NA ,NA ,30-Jan-2026 12:00 PM,06-Feb-2026 12:00 PM,11-Feb-2026 02:00 PM,1,Fee/PreQual/Technical,.pdf,Prahri E-1 Sheet and Technical Documents,Replacing work of damaged sewer line and other civil works in Gulmohar Colony Type-1 at Premises of Raj Bhawan Lko,Replacing work of damaged sewer line and other civil works in Gulmohar Colony Type-1 at Premises of Raj Bhawan Lko,Please refer Tender documents. ,NA ,"31,92,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Lucknow,226001.0,"E.E. Maintenance Division No 1(Civil), PWD, Lko ","OFFICE OF Executive Engineer, Maintenance Division No.-1 (Civil), PWD, Lucknow ",31-Jan-2026 12:00 PM ,"E.E. Maintenance Division No 1(Civil), PWD, Lko",No ,No,854.0,Nil,Nil,No,1.0,SBI Bank,"3,20,000",Yes,fixed,,Nil,Nil,AOC,Finance,M/S Kohinoor Traders. L1 MS AKASH CONSTRUCTION. L2,UMAKANT PANDEY,11-Feb-2026 03:56 PM,,BOQ Comparative Chart,"CHAKRESH KAIN, UMAKANT PANDAY, GANGESHWAR PAL",Internal,"CHAKRESH KAIN, UMAKANT PANDAY, GANGESHWAR PAL",UMAKANT PANDEY,11-Feb-2026 11:42 AM,11-Feb-2026 02:00 PM,techsummary_2050725.pdf (866.25 KB),Technical,Admitted for technical Evaluation by Prahari portal,UMAKANT PANDEY,10-Feb-2026 04:18 PM,,"CHAKRESH KAIN, UMAKANT PANDAY, GANGESHWAR PAL, DILEEP KUMAR",Internal,"CHAKRESH KAIN, UMAKANT PANDAY, GANGESHWAR PAL, DILEEP KUMAR",UMAKANT PANDEY,13-Feb-2026 04:47 PM,finsummary_2050725.pdf (20.08 KB),28-Feb-2026,"INR 2,745,245",120.0,UMAKANT PANDEY,21-May-2026 06:46 PM,2026_PWDBL_1110415_2.pdf (372.00 KB),Contract has been awarded after Acceptance of the bid,1,5845117,MS AKASH CONSTRUCTION,05-Feb-2026 08:22 PM,Rejected-Finance,being high rate,13-Feb-2026 04:47 PM,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 1 (Civil) PWD Lucknow,2026_PWDBL_1110415_2,136/Tender/2025-26 Date. 17.01.2026,Replacing work of damaged sewer line and other civil works in Gulmohar Colony Type-1 at Premises of Raj Bhawan Lko,1.0,5845727.0,M/S Kohinoor Traders,INR,"2,745,245",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5845727,M/S Kohinoor Traders,05-Feb-2026 09:46 PM,Accepted-AOC,Accepted due to lowest rate,21-May-2026 06:46 PM,,,,,,,,,,AOC
