Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
15-May-2026,"INR 1,082,753",90.0,Neeraj Kumar,15-May-2026 08:54 AM,1891_6.pdf (784.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2026_REDUP_1128765_6,1891/EE RED Jaunpur/25-26 Dt 11/02/2026,"Under District Jaunpur, Construction of CC road from interlocking road to the house of Ram Asare Shukla in block badlapur village Hariharpur., Lot No 6",1.0,6027337.0,RUDRANSH ENTERPRISES,INR,"1,082,753",1,6029272,M/s YASHRAJ CONSTRUCTION,07-Apr-2026 06:58 PM,Rejected-Finance,Rejected,14-May-2026 10:49 AM,Technical,Summary,Neeraj Kumar,09-Apr-2026 02:56 PM,,Er Neeraj Kumar EE RED Jaunpur,Internal,,Neeraj Kumar,14-May-2026 10:49 AM,finsummary_2112991.pdf (784.19 KB),Finance,Summary,Neeraj Kumar,18-Apr-2026 03:43 PM,,BOQ Comparative Chart,Er Neeraj Kumar EE RED Jaunpur,Internal,"Er Neeraj Kumar EE RED Jaunpur, Er Maya Shankar AE RED Jaunpur, Er Alok Kumar AE RED Jaunpur, Mr Jai Prakash DAO RED Jaunpur",Alok Kumar,18-Apr-2026 03:04 PM,18-Apr-2026 03:10 PM,techsummary_2112991.pdf (208.89 KB),AOC,"Under District Jaunpur, Construction of CC road from interlocking road to the house of Ram Asare Shukla in block badlapur village Hariharpur., Lot No 6","Under District Jaunpur, Construction of CC road from interlocking road to the house of Ram Asare Shukla in block badlapur village Hariharpur., Lot No 6",Please refer Tender documents. ,NA ,"9,19,000",Civil Works,NA ,Tender,90.0,90.0,Jaunpur,222001.0,"EE RED Jaunpur, Vikas Bhawan, Jaunpur ","EE RED Jaunpur, Vikas Bhawan, Jaunpur  ",03-Apr-2026 12:24 AM ,"EE RED Jaunpur, Vikas Bhawan, Jaunpur",No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,1891/EE RED Jaunpur/25-26 Dt 11/02/2026,2026_REDUP_1128765_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,"18,380",No,percentage,2.0%,Nil,Nil,856.0,Nil,Nil,No,1.0,SBI Bank,"EE RED Jaunpur, Vikas Bhawan, Jaunpur","EE RED Jaunpur, Vikas Bhawan, Jaunpur",01-Apr-2026 12:00 PM,09-Apr-2026 12:30 PM,01-Apr-2026 12:00 PM,09-Apr-2026 12:00 PM,NA ,NA ,01-Apr-2026 12:00 PM,09-Apr-2026 12:00 PM,18-Apr-2026 03:10 PM,AOC
,,,,,,,,,,,,,,,2,6027337,RUDRANSH ENTERPRISES,07-Apr-2026 06:36 PM,Accepted-AOC,AoC,15-May-2026 08:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,AOC
