Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,27-Apr-2026 01:10 PM,02-May-2026 12:30 PM,techsummary_2061170.pdf (624.49 KB),11-May-2026,"INR 1,931,228",90.0,RAJNEESH KUMAR,11-May-2026 06:23 PM,Lohabablu.pdf (364.00 KB),final,Technical,FINAL,RAJNEESH KUMAR,27-Apr-2026 01:07 PM,technical_2061170.pdf,1.0,6009612.0,NARAYAN CONSTRUCTION,INR,"1,931,228",Finance,final,RAJNEESH KUMAR,11-May-2026 06:16 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EEAEDAO,RAJNEESH KUMAR,11-May-2026 06:20 PM,finsummary_2061170.pdf (364.06 KB),1,6009612,NARAYAN CONSTRUCTION,30-Mar-2026 07:24 AM,Accepted-AOC,y,11-May-2026 06:23 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1113367_22,3222/RED/Tender/2025-269 Date 14-01-2026,22- Gram Lohagadh Moth main bablu gurjar ke makan se Govind das gupta ke makan hote huye ramlal Dhobi ke makan ki aur apex sadak abam nali nirman karya.,AOC,"2,354",Nil,Nil,No,"98,000",Yes,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3222/RED/Tender/2025-269 Date 14-01-2026,2026_REDUP_1113367_22,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,sbd,1.0,date6,Date,,1.0,SBI Bank,07-Feb-2026 06:00 PM,06-Apr-2026 03:30 PM,07-Feb-2026 06:00 PM,06-Apr-2026 12:00 PM,NA ,NA ,07-Feb-2026 06:00 PM,06-Apr-2026 12:00 PM,02-May-2026 12:30 PM,22- Gram Lohagadh Moth main bablu gurjar ke makan se Govind das gupta ke makan hote huye ramlal Dhobi ke makan ki aur apex sadak abam nali nirman karya.,22- Gram Lohagadh Moth main bablu gurjar ke makan se Govind das gupta ke makan hote huye ramlal Dhobi ke makan ki aur apex sadak abam nali nirman karya.,Please refer Tender documents. ,NA ,"19,41,000",Civil Works,NA ,Tender,90.0,90.0,22- Gram Lohagadh Moth main bablu gurjar ke makan,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,EE RED Jhansi,EE RED Jhansi,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6021416,SANJAY AGARWAL,31-Mar-2026 10:13 AM,Rejected-Finance,n,11-May-2026 06:20 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
