Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Maya Garden Bhadeshi Marg Se Univershal Public School Tak Marg Nirmaan Karya,Maya Garden Bhadeshi Marg Se Univershal Public School Tak Marg Nirmaan Karya,Maya Garden Bhadeshi Marg Se Univershal Public School Tak Marg Nirmaan Karya ,NA ,"20,09,000",Civil Works - Roads,CC ROAD ,Tender,90.0,120.0,Aligarh,202001.0,NA ,NA ,NA ,offce of the eered aligarh vikas bhavan ramghat,No ,No,"2,354",Nil,Nil,No,1.0,SBI Bank,1.0,Date corringdom,Date,,"41,000",No,fixed,,Nil,Nil,offce of the eered aligarh vikas bhavan ramghat,offce of the eered aligarh vikas bhavan ramghat road aligarh,07-Feb-2026 02:30 PM,09-Mar-2026 12:30 PM,20-Feb-2026 12:00 PM,09-Mar-2026 12:00 PM,NA ,NA ,20-Feb-2026 12:00 PM,09-Mar-2026 12:00 PM,18-Mar-2026 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,SBD,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE ALIGARH CIRCLE||EE ALIGARH,Nit Letter 1266 EE RED 2025 26 Dated 19 01 2026,2026_REDUP_1112699_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Maya Garden Bhadeshi Marg Se Univershal Public School Tak Marg Nirmaan Karya,Suneet Kumar,11-Mar-2026 10:44 AM,technical_2060889.pdf,EE,Internal,AE DAO,Suneet Kumar,24-Mar-2026 06:07 PM,finsummary_2060889.pdf (1098.29 KB),Finance,Maya Garden Bhadeshi Marg Se Univershal Public School Tak Marg Nirmaan Karya,Suneet Kumar,19-Mar-2026 11:41 AM,finance_2060889.pdf,BOQ Comparative Chart,EE,Internal,"AE ,DAO",Suneet Kumar,11-Mar-2026 11:23 AM,18-Mar-2026 04:00 PM,techsummary_2060889.pdf (386.73 KB),10-Apr-2026,"INR 2,347,420",120.0,Chandravir -,27-May-2026 01:57 PM,Mayagarden.pdf (705.00 KB),AOC,1,5956159,Balveer Singh,08-Mar-2026 09:13 AM,Rejected-Finance,Rate Greater than L1,24-Mar-2026 06:07 PM,1.0,5955581.0,M/S JASWANT SINGH CONTRACTOR AND SUPPLIERS,INR,"2,347,420",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE ALIGARH CIRCLE||EE ALIGARH,2026_REDUP_1112699_3,Nit Letter 1266 EE RED 2025 26 Dated 19 01 2026,Maya Garden Bhadeshi Marg Se Univershal Public School Tak Marg Nirmaan Karya,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5955627,M/S ASHISH KUMAR GAUR,07-Mar-2026 06:11 PM,Rejected-Finance,Rate Greater than L1,24-Mar-2026 06:07 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5955581,M/S JASWANT SINGH CONTRACTOR AND SUPPLIERS,07-Mar-2026 04:54 PM,Accepted-AOC,BOND COMPLETE,27-May-2026 01:57 PM,,,,,,,,,,AOC
