Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Allahabad,2026_SCIDC_1132092_1,403/EE/PBH/KG/E-Tender/2025-26,Repair and Renovation Kasturba Gandhi Vidhyalaya at Shivgarh Distt. Pratapgarh.,1.0,6031119.0,SHIV ENTERPRISES,INR,"1,508,455.2",1,6030302,EFENGY CONSTRUCTION PRIVATE LIMITED,06-Apr-2026 11:19 AM,Rejected-Technical,All Document not Complete,26-May-2026 01:41 PM,29-May-2026,"INR 1,508,455.2",270.0,Anil Kumar,29-May-2026 02:37 PM,W1.pdf (779.00 KB),Letter No- 34 Date 27.05.2026,1.0,Tender Revocation,Tender Revocation,26-May-2026 12:48 PM,S2.pdf ,3051.6,Technical Opening,Anil Kumar,Internal,Shahbaz Ahmad Lalji Tiwari,Anil Kumar,29-May-2026 02:31 PM,finsummary_2112776.pdf (1152.78 KB),Technical,Summary,Anil Kumar,26-May-2026 01:36 PM,technical_2112776.pdf,Anil Kumar,Internal,Shahbaz Ahmad Lalji Tiwari,Anil Kumar,26-May-2026 01:41 PM,26-May-2026 01:45 PM,techsummary_2112776.pdf (3068.50 KB),Finance,Financial,Anil Kumar,29-May-2026 02:26 PM,finance_2112776.pdf,BOQ Comparative Chart,AOC,"1,652",EE UPSCIDCO,Pratapgarh,No,31-Mar-2026 06:00 PM,06-Apr-2026 03:00 PM,31-Mar-2026 06:00 PM,06-Apr-2026 02:00 PM,NA ,NA ,31-Mar-2026 06:00 PM,06-Apr-2026 02:00 PM,26-May-2026 01:45 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Allahabad,403/EE/PBH/KG/E-Tender/2025-26,2026_SCIDC_1132092_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"30,500",No,fixed,,EE UPSCIDCO,Pratapgarh,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,NIT EMD Tender Fee etc,EE Pratapgarh,Near Renu Verma Nursing Home front of Angil School Shiv ji puram Pratapgarh,Repair and Renovation Kasturba Gandhi Vidhyalaya at Shivgarh Distt. Pratapgarh.,Repair and Renovation Kasturba Gandhi Vidhyalaya at Shivgarh Distt. Pratapgarh.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,105.0,270.0,Pratapgarh,230001.0,EE Office Pratapgarh ,Near Renu Verma Nursing Home front of Angil School Shiv ji puram Pratapgarh ,04-Apr-2026 12:00 PM ,EE Office Pratapgarh,No ,No,AOC
,,,,,,,,,2,6031086,M/S DEVTAN CONSTRUCTION CO.,05-Apr-2026 10:49 PM,Rejected-Technical,All Document not Complete,26-May-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6031196,M/s Dharmendra Kumar Pandey Contractor,06-Apr-2026 12:37 PM,Rejected-Finance,IInd Lowest Rate,29-May-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,RTGS - RTGS Payment,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6032354,M/S MAA AMBE ENTERPRISES,06-Apr-2026 12:25 PM,Rejected-Technical,All Document not Complete,26-May-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6031119,SHIV ENTERPRISES,05-Apr-2026 11:00 PM,Accepted-AOC,Ist Lowest Rate,29-May-2026 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
