Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage
Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,27-Apr-2026 04:39 PM,02-May-2026 12:30 PM,techsummary_2108854.pdf (648.27 KB),Technical,FINAL,RAJNEESH KUMAR,27-Apr-2026 04:36 PM,technical_2108854.pdf,11-May-2026,"INR 2,166,774",90.0,RAJNEESH KUMAR,11-May-2026 05:26 PM,lohamunni.pdf (368.00 KB),final,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1113367_25,3222/RED/Tender/2025-269 Date 14-01-2026,23- Gram Lohagadh Moth main Munni Barar ke makan se Bhola Ahirwar ke makan ke aage Puliya tak apex sadak nirman karya.,1,6013745,NARAYAN CONSTRUCTION,30-Mar-2026 07:29 AM,Accepted-AOC,y,11-May-2026 05:26 PM,1.0,6013745.0,NARAYAN CONSTRUCTION,INR,"2,166,774",Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,11-May-2026 05:24 PM,finsummary_2108854.pdf (368.43 KB),Finance,final,RAJNEESH KUMAR,11-May-2026 05:23 PM,,BOQ Comparative Chart,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3222/RED/Tender/2025-269 Date 14-01-2026,2026_REDUP_1113367_25,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,date6,Date,,EE RED Jhansi,EE RED Jhansi,25-Mar-2026 06:55 PM,06-Apr-2026 03:30 PM,25-Mar-2026 06:55 PM,06-Apr-2026 12:00 PM,NA ,NA ,25-Mar-2026 06:55 PM,06-Apr-2026 12:00 PM,02-May-2026 12:30 PM,23- Gram Lohagadh Moth main Munni Barar ke makan se Bhola Ahirwar ke makan ke aage Puliya tak apex sadak nirman karya.,23- Gram Lohagadh Moth main Munni Barar ke makan se Bhola Ahirwar ke makan ke aage Puliya tak apex sadak nirman karya.,Please refer Tender documents. ,NA ,"21,79,000",Civil Works,NA ,Tender,90.0,90.0,23- Gram Lohagadh Moth main Munni Barar ke makan s,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,1,Fee/PreQual/Technical,.pdf,sbd,"2,354",Nil,Nil,No,"1,09,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6021462,SANJAY AGARWAL,31-Mar-2026 10:18 AM,Rejected-Finance,n,11-May-2026 05:24 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,AOC
