Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Allahabad,72/EE/PBH/Sansad Nidhi/E-Tender/26-27,2026_SCIDC_1147255_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EE UPSCIDCO Pratapgarh,Near Renu Verma Nursing Home front of Angil School Shiv ji puram Pratapgarh,1,DD - Demand Draft,"24,000",No,fixed,,EE UPSCIDCO,Pratapgarh,Sansad Nidhi Yojna ke Antargat Maa Chandika Devi dham Block Sandwa Chandika Janpad Pratapgarh me Water A.T.M. Adhishthapan ka Nirman Karya,Sansad Nidhi Yojna ke Antargat Maa Chandika Devi dham Block Sandwa Chandika Janpad Pratapgarh me Water A.T.M. Adhishthapan ka Nirman Karya,Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,90.0,120.0,Pratapgarh,230001.0,EE Office Pratapgarh ,Near Renu Verma Nursing Home front of Angil School Shiv ji puram Pratapgarh ,14-May-2026 12:00 PM ,EE UPSCIDCO Pratapgarh,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"1,652",EE UPSCIDCO,Pratapgarh,Yes,11-May-2026 09:00 AM,16-May-2026 03:00 PM,11-May-2026 09:00 AM,16-May-2026 02:00 PM,NA ,NA ,11-May-2026 09:00 AM,16-May-2026 02:00 PM,18-May-2026 06:55 PM,AOC,Anil Kumar,Internal,Shahbaz Ahmad Lalji Tiwari,Anil Kumar,30-May-2026 04:56 PM,finsummary_2146163.pdf (1185.56 KB),Technical,Summary,Anil Kumar,18-May-2026 06:45 PM,technical_2146163.pdf,Anil Kumar,Internal,Shahbaz Ahmad Lalji Tiwari,Anil Kumar,18-May-2026 06:54 PM,18-May-2026 06:55 PM,techsummary_2146163.pdf (1046.72 KB),Finance,Fn,Anil Kumar,30-May-2026 04:51 PM,finance_2146163.pdf,BOQ Comparative Chart,1.0,6116721.0,M/S JAI YOGI BEER BABA CONSTRUCTION,15-May-2026 07:52 PM,Rejected-Finance,IInd Lowest Rate,30-May-2026 04:56 PM,1.0,6118050.0,shanvika contractor & suppliers,INR,"1,197,880.2",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Allahabad,2026_SCIDC_1147255_1,72/EE/PBH/Sansad Nidhi/E-Tender/26-27,Sansad Nidhi Yojna ke Antargat Maa Chandika Devi dham Block Sandwa Chandika Janpad Pratapgarh me Water A.T.M. Adhishthapan ka Nirman Karya,30-May-2026,"INR 1,197,880.2",120.0,Anil Kumar,30-May-2026 05:01 PM,WO.pdf (511.00 KB),Letter No- 81 Date 19.05.2026,AOC
,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6118050.0,shanvika contractor & suppliers,15-May-2026 01:28 PM,Accepted-AOC,Ist Lowest Rate,30-May-2026 05:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
