Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,154/RED/ENIV/NIR/25-26 Dt 09-01-2026,2026_REDUP_1111604_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Jigiriya Padri Hathirai marg se Booth Adhyasha Rambhar ke ghar tak Rabarmold Interlocking ka Nirman Karya,Jigiriya Padri Hathirai marg se Booth Adhyasha Rambhar ke ghar tak Rabarmold Interlocking ka Nirman Karya,Jigiriya Padri Hathirai marg se Booth Adhyasha Rambhar ke ghar tak Rabarmold Interlocking ka Nirman Karya ,NA ,"7,34,142",Civil Works,NA ,Tender,90.0,120.0,EE RED Gonda,271001.0,NA ,NA ,NA ,EE RED Gonda,No ,No,950.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,NIT with T1,"14,683",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,EE RED GONDA,EE RED GONDA,02-Feb-2026 05:00 PM,08-Feb-2026 12:30 PM,02-Feb-2026 05:00 PM,08-Feb-2026 12:00 PM,NA ,NA ,02-Feb-2026 05:00 PM,08-Feb-2026 12:00 PM,26-Feb-2026 02:00 PM,AOC,1.0,5845464.0,Vishnu Pratap Singh,INR,"733,774.61",Finance,Summary,Jay Bahadur Singh,13-May-2026 07:25 AM,,BOQ Comparative Chart,EE RED GONDA,Internal,Er JB Singh EE Er VK Pathak AE Sri LK Chakravarti DAO,Jay Bahadur Singh,13-May-2026 07:40 AM,finsummary_2054481.pdf (193.59 KB),1,5849259,OM CONSTRUCTION,07-Feb-2026 05:33 PM,Rejected-Finance,L2,13-May-2026 07:40 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,2026_REDUP_1111604_14,154/RED/ENIV/NIR/25-26 Dt 09-01-2026,Jigiriya Padri Hathirai marg se Booth Adhyasha Rambhar ke ghar tak Rabarmold Interlocking ka Nirman Karya,EE RED GONDA,Internal,Er JB Singh EE Er VK Pathak AE Sri LK Chakravarti DAO,Jay Bahadur Singh,26-Feb-2026 12:14 PM,26-Feb-2026 02:00 PM,techsummary_2054481.pdf (564.27 KB),13-May-2026,"INR 733,774.61",120.0,Jay Bahadur Singh,13-May-2026 07:44 AM,14v.pdf (194.00 KB),bond,Technical,Summary,Jay Bahadur Singh,26-Feb-2026 12:00 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Work BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5845464,Vishnu Pratap Singh,06-Feb-2026 04:11 PM,Accepted-AOC,L1,13-May-2026 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
