Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Gyanendra Kumar,Internal,,Gyanendra Kumar,16-Apr-2026 07:50 PM,17-Apr-2026 12:30 PM,techsummary_2108902.pdf (332.87 KB),23-Apr-2026,"INR 1,808,984",90.0,Gyanendra Kumar,13-May-2026 04:55 PM,52.pdf (414.00 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,02-Apr-2026 12:19 PM,,Gyanendra Kumar,Internal,,Gyanendra Kumar,19-Apr-2026 02:29 PM,finsummary_2108902.pdf (522.33 KB),Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,17-Apr-2026 06:29 PM,,BOQ Comparative Chart,1.0,6018855.0,SHAKUN CONSTRUCTION,INR,"1,808,984",1,6019030,M/s Mannat Construction,30-Mar-2026 07:13 PM,Rejected-Finance,Higher Rate Quoted,19-Apr-2026 02:29 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1129795_28,1737/RED/Tender/2025-26,"Installation of 86 Nos. Single Solar Lights 18 Watt (containing 01 lights) (as per the list mentioned in the proposal of Hon ble Member Legislative Council Sitapur), Block- Sakran",AOC,1.0,SBI Bank,"Installation of 86 Nos. Single Solar Lights 18 Watt (containing 01 lights) (as per the list mentioned in the proposal of Hon ble Member Legislative Council Sitapur), Block- Sakran","Installation of 86 Nos. Single Solar Lights 18 Watt (containing 01 lights) (as per the list mentioned in the proposal of Hon ble Member Legislative Council Sitapur), Block- Sakran",Please refer Tender documents. ,NA ,"18,09,165",Electrical Works,NA ,Tender,90.0,90.0,"Sakran, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,944.0,Nil,Nil,No,"37,000",No,fixed,,Nil,Nil,26-Mar-2026 10:00 AM,01-Apr-2026 12:30 PM,26-Mar-2026 10:00 AM,01-Apr-2026 12:00 PM,NA ,NA ,26-Mar-2026 10:00 AM,01-Apr-2026 12:00 PM,17-Apr-2026 12:30 PM,EE RED Sitapur,"Vikas Bhawan, Sitapur",1,Fee/PreQual/Technical,.pdf,Technical,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1737/RED/Tender/2025-26,2026_REDUP_1129795_28,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6018855,SHAKUN CONSTRUCTION,29-Mar-2026 09:22 PM,Accepted-AOC,L1,13-May-2026 04:55 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,AOC
