S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
1.0,Tender Revocation,Tender Revocation,30-Mar-2026 11:23 AM,revokelot05.pdf ,118.42,Technical Opening,1,5965565,ARVIND KUMAR SINGH,12-Mar-2026 07:06 PM,Accepted-AOC,l1,18-May-2026 08:33 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",2026_UPIDC_1122365_5,06/SE-XI/2025-26,NIT06 LOT05,1.0,5965565.0,ARVIND KUMAR SINGH,INR,"12,776,170",15-Apr-2026,"INR 12,776,170",90.0,Dhruva Chandra Verma,18-May-2026 08:33 PM,aoc.pdf (275.00 KB),DC VERMA,Internal,DC VERMA SE XITH CIRCLE IW AYODHYA AND BP SINGH SE 7TH CIRCLE IW LUCKNOW,Dhruva Chandra Verma,30-Mar-2026 03:46 PM,30-Mar-2026 04:45 PM,techsummary_2089872.pdf (1348.74 KB),Finance,ALL BID HAS BEEN ADMITTED,Dhruva Chandra Verma,13-Apr-2026 06:57 AM,,BOQ Comparative Chart,DC VERMA,Internal,,Dhruva Chandra Verma,13-Apr-2026 07:02 AM,finsummary_2089872.pdf (291.06 KB),Technical,All bid has been admitted,Dhruva Chandra Verma,30-Mar-2026 03:39 PM,,AOC,"4,305",Nil,Nil,No,SUPERINTENDING ENGINEER,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,"2,70,000",No,fixed,,Nil,Nil,NIT06 LOT05,NIT06 LOT05,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,AYODHYA,224001.0,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA ,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA ,07-Mar-2026 11:00 AM ,O/O XITH CIRCLE IRRIGATION WORKS AYODHYA,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",06/SE-XI/2025-26,2026_UPIDC_1122365_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,30-Mar-2026 04:45 PM,1.0,SBI Bank,AOC
,,,,,,,2,5968428,M/S ARYAN ENTERPRISES,13-Mar-2026 11:52 AM,Rejected-Finance,L3,13-Apr-2026 07:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,5969266,M/S RAM LAKHAN,13-Mar-2026 11:37 AM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,30-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,5969939,M/S SUNIL KUMAR SINGH,13-Mar-2026 01:36 PM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,30-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,5966771,Shiv Ram Yadav,13-Mar-2026 07:18 AM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,30-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,5965218,sri durga shakti traders,12-Mar-2026 06:27 PM,Rejected-Finance,L2,13-Apr-2026 07:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
