S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5949173.0,K K CONSTRUCTION,INR,"1,750,667",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BADAUN,2026_REDUP_1112968_8,1450/RED/e-Tender/2025-26 Date 27.01.2026,CC work from Thakurji temple to the primary school and from Mahavir Thakur house to Madan Kashyap house in village Sareri (Usawan),1,5949173,K K CONSTRUCTION,06-Mar-2026 12:06 PM,Accepted-AOC,Due To Lower Rate,25-May-2026 03:31 PM,28-Mar-2026,"INR 1,750,667",90.0,BHOOPENDRA PRATAP SINGH,25-May-2026 03:31 PM,Sareri.pdf (770.00 KB),Agreement Cost For Construction Without GST,Executive Engineer,Internal,AE and DAO,BHOOPENDRA PRATAP SINGH,27-Mar-2026 04:02 PM,finsummary_2059401.pdf (463.06 KB),Technical,Technical Bid Opened,BHOOPENDRA PRATAP SINGH,09-Mar-2026 06:02 PM,,Executive Engineer,Internal,AE and DAO,BHOOPENDRA PRATAP SINGH,19-Mar-2026 04:30 PM,24-Mar-2026 12:00 PM,techsummary_2059401.pdf (345.33 KB),Finance,Financial Bid Opened,BHOOPENDRA PRATAP SINGH,24-Mar-2026 01:31 PM,,BOQ Comparative Chart,AOC,07-Feb-2026 12:00 PM,09-Mar-2026 04:00 PM,07-Feb-2026 12:00 PM,09-Mar-2026 12:00 PM,NA ,NA ,07-Feb-2026 12:00 PM,09-Mar-2026 12:00 PM,24-Mar-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Technical,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BADAUN,1450/RED/e-Tender/2025-26 Date 27.01.2026,2026_REDUP_1112968_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CC work from Thakurji temple to the primary school and from Mahavir Thakur house to Madan Kashyap house in village Sareri (Usawan),CC work from Thakurji temple to the primary school and from Mahavir Thakur house to Madan Kashyap house in village Sareri (Usawan),Please Refer To Tender ,NA ,"17,52,419",Civil Works,NA ,Tender,90.0,90.0,Vikas Bhawan Badaun,243601.0,NA ,NA ,NA ,"RED, Vikas Bhawan, Badaun",No ,No,854.0,Nil,Nil,No,"Executive Engineer, RED, Division Badaun","Office of Executive Engineer, Rural Engineering Department, Division Badaun, Room No. 226, First Floor, Vikas Bhawan, Badaun 243601","36,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5951456,MS SUPER AGRO,06-Mar-2026 08:25 PM,Rejected-Finance,Due To Higher Bid,27-Mar-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
