Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,LETTAR NO 2400 DATE 30.03.2026,2026_REDUP_1136582_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,13-Apr-2026 06:00 PM,05-May-2026 12:30 PM,13-Apr-2026 06:00 PM,05-May-2026 12:00 PM,NA ,NA ,13-Apr-2026 06:00 PM,05-May-2026 12:00 PM,12-May-2026 12:00 PM,1.0,SBI Bank,E.E.R.E.D HARDOI,E.E.R.E.D HARDOI,"21,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,GRAM GAURI KHALSA ME MUNNA KE MAKAN SE BECHELAL KE MAKAN SE SAHAY KE MAKAN TAK INTERLOCKING AND NALI NIRMAN KARYA,GRAM GAURI KHALSA ME MUNNA KE MAKAN SE BECHELAL KE MAKAN SE SAHAY KE MAKAN TAK INTERLOCKING AND NALI NIRMAN KARYA,GRAM GAURI KHALSA ME MUNNA KE MAKAN SE BECHELAL KE MAKAN SE SAHAY KE MAKAN TAK INTERLOCKING AND NALI NIRMAN KARYA ,NA ,"10,48,000",Civil Works,NA ,Tender,90.0,90.0,HARDOI,241001.0,NA ,NA ,NA ,E.E.R.E.D HARDOI,No ,No,856.0,Nil,Nil,No,AOC,Technical,EE AE DAO,Pradeep Pal,11-May-2026 07:32 PM,technical_2122408.pdf,EE,Internal,EE AE DAO,Pradeep Pal,30-May-2026 06:03 PM,finsummary_2122408.pdf (514.05 KB),Finance,EE AE DAO,Pradeep Pal,30-May-2026 05:58 PM,finance_2122408.pdf,BOQ Comparative Chart,EE,Internal,EE AE DAO,Pradeep Pal,11-May-2026 07:35 PM,12-May-2026 12:00 PM,techsummary_2122408.pdf (436.71 KB),30-May-2026,"INR 1,047,192.991",90.0,Pradeep Pal,30-May-2026 06:07 PM,GAURI.pdf (514.00 KB),EE AE DAO,1,6084437,M/S SHAFIQ BUILDERS,03-May-2026 11:01 AM,Rejected-AOC,RESPONSIVE,30-May-2026 06:07 PM,1.0,6080120.0,MUBARAK HUSAIN,INR,"1,047,192.991",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,2026_REDUP_1136582_1,LETTAR NO 2400 DATE 30.03.2026,GRAM GAURI KHALSA ME MUNNA KE MAKAN SE BECHELAL KE MAKAN SE SAHAY KE MAKAN TAK INTERLOCKING AND NALI NIRMAN KARYA,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6080120,MUBARAK HUSAIN,03-May-2026 11:05 AM,Accepted-AOC,RESPONSIVE,30-May-2026 06:07 PM,,,,,,,,,,AOC
