Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Kanpur,31/EE/BMMDK/2025-26 (LOT-4),2026_UPIDM_1114750_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Fee, EMD, Pre bid qualification.",11-Feb-2026 05:00 PM,24-Feb-2026 12:00 PM,11-Feb-2026 05:00 PM,24-Feb-2026 10:00 AM,NA ,NA ,11-Feb-2026 05:00 PM,24-Feb-2026 10:00 AM,12-Mar-2026 06:55 PM,Executive Engineer,"Office of Executive Engineer, Barrage Mechanical Maintenance Division, Kanpur Irrigation Department U.P., 67-A, Cantt, Kanpur-208004",1.0,SBI Bank,"27,100",No,fixed,,Nil,Nil,"Painting on old rusted steel surface of gate of Asadpur regulator, Etah","Painting on old rusted steel surface of gate of Asadpur regulator, Etah",Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,120.0,120.0,"Asadpur, Etah",207401.0,NA ,NA ,NA ,"Office of Executive Engineer, BMMD, Kanpur",No ,No,AOC,E E,Internal,,PRANAV SINGH,26-May-2026 04:09 PM,finsummary_2067567.pdf (447.56 KB),Technical,All 3 No. technical bids are opened by the tender-opening committee.,PRANAV SINGH,12-Mar-2026 03:03 PM,,E E,Internal,,PRANAV SINGH,12-Mar-2026 06:50 PM,12-Mar-2026 06:55 PM,techsummary_2067567.pdf (57.70 KB),Finance,All 3 No financial bids are opened by the tender opening committee.,PRANAV SINGH,02-Apr-2026 01:08 PM,,BOQ Comparative Chart,1.0,5911359.0,MAARK ENTERPRISES,INR,"1,305,936",U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Kanpur,2026_UPIDM_1114750_1,31/EE/BMMDK/2025-26 (LOT-4),"Painting on old rusted steel surface of gate of Asadpur regulator, Etah",1,5903498,BHUPENDRA KUMAR,21-Feb-2026 09:18 AM,Rejected-Finance,higher bid rate,26-May-2026 04:09 PM,26-May-2026,"INR 1,305,936",120.0,PRANAV SINGH,26-May-2026 04:13 PM,31_4.pdf (448.00 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5911359,MAARK ENTERPRISES,23-Feb-2026 08:47 PM,Accepted-AOC,lowest bid rate,26-May-2026 04:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5910951,M/S W M ENGINEERING WORKS,22-Feb-2026 04:27 PM,Rejected-Finance,higher bid rate,26-May-2026 04:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5897747,PREM PRAKASH AWASTHI,19-Feb-2026 04:40 PM,Rejected-Technical,Technically not qualified,12-Mar-2026 06:50 PM,,,,,,,AOC
