Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,63/GM-3/UPPCL/2025-26 DATE-27.01.2026,2026_UPPRC_1111114_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,General Manager Zone-3 UPPCL Lucknow,Office of the General Manager Zone-3 UPPCL Lucknow,"Fire Fighting Work at CHC Amethi, Bhadar, Bhetua, Sangrampur, Musafirkhana, Bazar Shukul, Jagdishpur, Jamo, Shahgarh, Gauriganj, Singhpur, Tiloi and Furshatganj in Distt. Amethi","Fire Fighting Work at CHC Amethi, Bhadar, Bhetua, Sangrampur, Musafirkhana, Bazar Shukul, Jagdishpur, Jamo, Shahgarh, Gauriganj, Singhpur, Tiloi and Furshatganj in Distt. Amethi",As per Bid Documents ,NA ,"5,64,16,000",Civil Works - Others,Fire Fighting Work ,Tender,90.0,180.0,Amethi,227405.0,NA ,NA ,NA ,Office of the General Manager Zone-3 UPPCL Lucknow,No ,No,"11,28,000",No,fixed,,Nil,Nil,03-Feb-2026 09:00 AM,10-Feb-2026 04:00 PM,03-Feb-2026 09:00 AM,10-Feb-2026 03:00 PM,NA ,NA ,03-Feb-2026 09:00 AM,10-Feb-2026 03:00 PM,28-Feb-2026 12:00 PM,"17,700",Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,27-Feb-2026 04:20 PM,28-Feb-2026 12:00 PM,techsummary_2052439.pdf (4640.15 KB),Finance,Attached,ANIL KUMAR SINGH,18-May-2026 12:31 PM,finance_2052439.pdf,BOQ Comparative Chart,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,18-May-2026 12:34 PM,finsummary_2052439.pdf (4640.15 KB),Technical,Attached,ANIL KUMAR SINGH,27-Feb-2026 03:48 PM,technical_2052439.pdf,1.0,5857506.0,NEW REGENT TRADING COMPANY,INR,"55,344,282.89",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,2026_UPPRC_1111114_1,63/GM-3/UPPCL/2025-26 DATE-27.01.2026,"Fire Fighting Work at CHC Amethi, Bhadar, Bhetua, Sangrampur, Musafirkhana, Bazar Shukul, Jagdishpur, Jamo, Shahgarh, Gauriganj, Singhpur, Tiloi and Furshatganj in Distt. Amethi",1,5859204,KRISHNA REFRIGERATION,10-Feb-2026 11:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Feb-2026 03:48 PM,18-May-2026,"INR 55,344,282.89",180.0,ANIL KUMAR SINGH,18-May-2026 12:36 PM,Agreement_FireAmethi.pdf (4443.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5859330,Mahesh and Copany,10-Feb-2026 12:50 PM,Rejected-AOC,L2,18-May-2026 12:36 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5857506,NEW REGENT TRADING COMPANY,10-Feb-2026 12:03 PM,Accepted-AOC,L1,18-May-2026 12:36 PM,,,,,,,,AOC
