Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
19-May-2026,"INR 1,210,301.81",90.0,Sheelendra Singh,19-May-2026 02:41 PM,LLT.pdf (511.00 KB),BOND PHOTO UPLODE DATE28.02.2026,1.0,5860606.0,SHRI BALAJI CONSTRUCTION,INR,"1,210,301.81",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,2026_REDUP_1112751_1,31/EE/RED/2025-26,Construction of 864 sq meter interlocking and 96 meter sidewall at the prayer place in Shri Radhakrishna Saraswati Vidyamandir Inter College on Kuiya Road in Ward No 06 of Orai city,1,5862127,M/S PREM NARAYAN,11-Feb-2026 02:28 PM,Rejected-Finance,2ND,06-Mar-2026 12:22 PM,Finance,financial cover to be opened,SHARAD SRIVASTAVA,06-Mar-2026 12:17 PM,finance_2058583.pdf,BOQ Comparative Chart,sheelendra singh,Internal,sharad srivastava anup kumar mishra,Sheelendra Singh,25-Feb-2026 01:35 AM,25-Feb-2026 10:00 AM,techsummary_2058583.pdf (1874.02 KB),Technical,technical bid to be opened,Sheelendra Singh,25-Feb-2026 12:51 AM,,sheelendra singh,Internal,SHARAD SRIVASTAVA ANUP KUMAR MISHRA,SHARAD SRIVASTAVA,06-Mar-2026 12:35 AM,finsummary_2058583.pdf (510.49 KB),AOC,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,31/EE/RED/2025-26,2026_REDUP_1112751_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of 864 sq meter interlocking and 96 meter sidewall at the prayer place in Shri Radhakrishna Saraswati Vidyamandir Inter College on Kuiya Road in Ward No 06 of Orai city,Construction of 864 sq meter interlocking and 96 meter sidewall at the prayer place in Shri Radhakrishna Saraswati Vidyamandir Inter College on Kuiya Road in Ward No 06 of Orai city,Please refer Tender documents. ,NA ,"12,11,000",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,ORAI,285001.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,No ,No,05-Feb-2026 06:55 PM,13-Feb-2026 12:30 PM,05-Feb-2026 06:55 PM,12-Feb-2026 05:00 PM,NA ,NA ,05-Feb-2026 06:55 PM,12-Feb-2026 05:00 PM,25-Feb-2026 10:00 AM,766.0,Nil,Nil,No,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT JALAUN AT ORAI,"25,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,A.D,AOC
,,,,,,,,,,,,,,,,2,5860606,SHRI BALAJI CONSTRUCTION,10-Feb-2026 08:36 PM,Accepted-AOC,ACCEPTED,19-May-2026 02:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
