Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1563/RED/Tender/2025-26,2026_REDUP_1116711_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of a hall in Community Health Centre Biswan, Block- Biswan","Construction of a hall in Community Health Centre Biswan, Block- Biswan",Please refer Tender documents. ,NA ,"24,99,892",Civil Works,NA ,Tender,90.0,90.0,"Biswan, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,1.0,SBI Bank,"50,000",No,fixed,,Nil,Nil,944.0,Nil,Nil,No,EE RED Sitapur,"Vikas Bhawan, Sitapur",16-Feb-2026 03:30 PM,21-Feb-2026 04:00 PM,16-Feb-2026 03:30 PM,21-Feb-2026 03:30 PM,NA ,NA ,16-Feb-2026 03:30 PM,21-Feb-2026 03:30 PM,16-Mar-2026 12:30 PM,1,Fee/PreQual/Technical,.pdf,Technical,AOC,Gyanendra Kumar,Internal,,Gyanendra Kumar,12-Mar-2026 05:24 PM,16-Mar-2026 12:30 PM,techsummary_2074189.pdf (314.24 KB),Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,16-Mar-2026 04:56 PM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Gyanendra Kumar,20-Mar-2026 05:58 PM,finsummary_2074189.pdf (513.78 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,23-Feb-2026 02:54 PM,,1,5891720,M/S VAHORE LAL,18-Feb-2026 12:12 PM,Accepted-AOC,L1,04-May-2026 05:55 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1116711_1,1563/RED/Tender/2025-26,"Construction of a hall in Community Health Centre Biswan, Block- Biswan",1.0,5891720.0,M/S VAHORE LAL,INR,"2,496,142",18-Apr-2026,"INR 2,496,142",90.0,Gyanendra Kumar,04-May-2026 05:55 PM,13.pdf (1113.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5896529,NITIN KUMAR VERMA,20-Feb-2026 07:50 PM,Rejected-Finance,Higher Rate Quoted,20-Mar-2026 05:58 PM,,,,,,,,,,,,,,,,AOC
