Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Superintending Engineer,"S.E. 18th Circle Irrigation Works, Govindpur, Prayagraj","24,60,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Document,As per Tender Notice No. 03/S.E./2025-26 Lot 1,As per Tender Notice No. 03/S.E./2025-26 Lot 1,Please refer Tender documents. ,NA ,"12,30,00,000",Civil Works - Canal,NA ,Rate Contract,90.0,NA ,S.E. 18th Circle Irrigation Works Prayagraj,211004.0,Prayagraj ,"S.E. 18th Circle Irrigation Works, Govindpur Prayagraj ",20-Feb-2026 01:00 PM ,"S.E. 18th Circle Irrigation Works, Prayagraj",No ,No,1.0,SBI Bank,19-Feb-2026 10:00 AM,07-Mar-2026 03:00 PM,19-Feb-2026 10:00 AM,07-Mar-2026 02:00 PM,NA ,NA ,19-Feb-2026 10:00 AM,07-Mar-2026 02:00 PM,20-Mar-2026 03:00 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVIII Circle Irrigation Works, Allahabad",03/S.E./2025-26,2026_UPIDC_1114946_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"7,354",Nil,Nil,No,AOC,Surendra Pal Singh,Internal,Kamani kant rai,surendra Pal singh,17-Mar-2026 02:38 PM,20-Mar-2026 03:00 PM,techsummary_2068315.pdf (477.53 KB),Finance,3 bidder admitted,surendra Pal singh,25-Mar-2026 07:04 PM,,BOQ Comparative Chart,Surendra Pal Singh,Internal,kamani kant raI,surendra Pal singh,25-Mar-2026 07:14 PM,finsummary_2068315.pdf (564.61 KB),Technical,11 bidder Admitted,surendra Pal singh,16-Mar-2026 01:35 PM,technical_2068315.pdf,1.0,5952355.0,M/S SHIV SHAKTI CONSTRUCTION,INR,"60,998,322","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVIII Circle Irrigation Works, Allahabad",2026_UPIDC_1114946_1,03/S.E./2025-26,As per Tender Notice No. 03/S.E./2025-26 Lot 1,1,5954925,BHAMAR SINGH,07-Mar-2026 11:54 AM,Rejected-Technical,Rejected,17-Mar-2026 02:38 PM,06-May-2026,"INR 60,998,322",365.0,surendra Pal singh,15-May-2026 12:43 PM,Shivsakti.pdf (701.00 KB),1st Lowest,AOC
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5949001,M/S ABHAY ASSOCIATES,07-Mar-2026 12:29 PM,Rejected-Technical,Rejected,17-Mar-2026 02:38 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5949376,M/S AJIT CONSTRUCTION AND ORDER SUPPLIER,07-Mar-2026 12:44 PM,Rejected-Technical,Rejected,17-Mar-2026 02:38 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5954579,M/s Kaiser Construction Engineers and Contractor,07-Mar-2026 01:50 PM,Rejected-Finance,2nd lowest,25-Mar-2026 07:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5948875,M/s Narayan Enterprises,07-Mar-2026 12:36 PM,Rejected-Technical,Rejected,17-Mar-2026 02:38 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5952355,M/S SHIV SHAKTI CONSTRUCTION,07-Mar-2026 12:39 PM,Accepted-AOC,1st Lowest,15-May-2026 12:43 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5955224,NARAYAN CONSTRUCTION,07-Mar-2026 01:41 PM,Rejected-Technical,Rejected,17-Mar-2026 02:38 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5940822,NIKHIL CONSTRUCTION,07-Mar-2026 12:55 PM,Rejected-Finance,3rd lowest,25-Mar-2026 07:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5955361,R.B.S. CONSTRUCTION,07-Mar-2026 01:56 PM,Rejected-Technical,Rejected,17-Mar-2026 02:38 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5954470,S.P.R.U INFRATECH PRIVATE LIMITED,07-Mar-2026 11:44 AM,Rejected-Technical,Rejected,17-Mar-2026 02:38 PM,,,,,,,,AOC
