Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly||Unit-21 Moradabad,03 /PCL/PM/UNIT-21/MBD/ 2025-26,2026_UPPRC_1113878_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,900",Nil,Nil,No,"CONS. OF BOUNDARYWALL AT KASTURBA GANDHI GIRLS HOSTEL ASHOKNAGAR, DISTT. RAMPUR","CONS. OF BOUNDARYWALL AT KASTURBA GANDHI GIRLS HOSTEL ASHOKNAGAR, DISTT. RAMPUR",Please refer Tender documents. ,NA ,"16,64,256",Civil Works,NA ,Tender,90.0,90.0,Moradabad,244001.0,NA ,NA ,NA ,"Project Manager UPPCL Unit-21, Moradabad",No ,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,"CONSTRUCTION OF BOUNDARYWALL AT KASTURBA GANDHI GIRLS HOSTEL ASHOKNAGAR, DISTRICT- RAMPUR(U.P.)","34,000",No,fixed,,Nil,Nil,Project Manager,MMIG B 1 and 2 Ramganga vihar Moradabad,20-Feb-2026 12:00 PM,26-Feb-2026 02:00 PM,20-Feb-2026 12:00 PM,26-Feb-2026 01:00 PM,NA ,NA ,20-Feb-2026 12:00 PM,26-Feb-2026 01:00 PM,28-Feb-2026 04:30 PM,AOC,Finance,Summary,Deepak Kumar Sharma,22-Apr-2026 06:13 PM,finance_2078848.pdf,BOQ Comparative Chart,"Project Manager Unit-21, Moradabad",Internal,Acctt moradabad and Project Manager Bareilly,Deepak Kumar Sharma,27-Feb-2026 05:50 PM,28-Feb-2026 04:30 PM,techsummary_2078848.pdf (7956.63 KB),Technical,comparative,Deepak Kumar Sharma,27-Feb-2026 05:43 PM,technical_2078848.pdf,"Project Manager Unit-21, Moradabad",Internal,Acctt mbd. and Project Manager Bareilly,Deepak Kumar Sharma,22-Apr-2026 06:16 PM,finsummary_2078848.pdf (7956.63 KB),22-Apr-2026,"INR 1,657,599",90.0,Deepak Kumar Sharma,22-Apr-2026 06:25 PM,LOA.pdf (703.00 KB),Loest bid,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly||Unit-21 Moradabad,2026_UPPRC_1113878_2,03 /PCL/PM/UNIT-21/MBD/ 2025-26,"CONS. OF BOUNDARYWALL AT KASTURBA GANDHI GIRLS HOSTEL ASHOKNAGAR, DISTT. RAMPUR",1.0,5904005.0,Sangam Construction,INR,"1,657,599",1,5928271,M. L. ENGINEERS,25-Feb-2026 01:04 PM,Rejected-AOC,IInd Lowest,22-Apr-2026 06:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,"CONSTRUCTION OF BOUNDARYWALL AT KASTURBA GANDHI GIRLS HOSTEL ASHOKNAGAR, DISTRICT- RAMPUR(U.P.)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5904005,Sangam Construction,23-Feb-2026 07:51 PM,Accepted-AOC,Ist Lowest,22-Apr-2026 06:25 PM,AOC
