S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,6045110.0,M/S JAI MAA BHAGAWATI VINDHYACHALI TRADERS,INR,"506,543.7",Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Chilkahar,2026_RDUP_1133232_1,1224 Date 28-03-2026 Work No 6,dumaree kampojit vidyaalay par aara0 o0 plaant ka sthaapana kaary,Technical,Bid Opening Summary,VINOD KUMAR BIND,15-Apr-2026 06:55 PM,,"VINOD KUMAR BIND, BDO PC BARANWAL, JE RED SURESH KUMAR, ACCOUNTANT",Internal,,VINOD KUMAR BIND,16-Apr-2026 07:54 PM,finsummary_2115320.pdf (201.39 KB),"VINOD KUMAR BIND, BDO PC BARANWAL, JE RED SURESH KUMAR, ACCOUNTANT",Internal,,VINOD KUMAR BIND,15-Apr-2026 07:15 PM,16-Apr-2026 10:00 AM,techsummary_2115320.pdf (201.39 KB),Finance,Bid Opening Summary,VINOD KUMAR BIND,16-Apr-2026 07:34 PM,,BOQ Comparative Chart,1.0,6048430.0,BHAGWAN VENKTES CONSTRUCTION AND SUPPLIERS,15-Apr-2026 11:54 AM,Rejected-AOC,L3,17-Apr-2026 03:31 PM,16-Apr-2026,"INR 506,543.7",90.0,VINOD KUMAR BIND,17-Apr-2026 03:31 PM,6.pdf (59.00 KB),aoc,AOC,1,DD - Demand Draft,dumaree kampojit vidyaalay par aara0 o0 plaant ka sthaapana kaary,dumaree kampojit vidyaalay par aara0 o0 plaant ka sthaapana kaary,NIT ,NA ,"5,07,000",Civil Works,NA ,Tender,90.0,90.0,KP CHILKAHAR,221701.0,NA ,NA ,NA ,BDO OFFICE CHILKAHAR,No ,No,BDO CHILKAHAR,BDO OFFICE CHILKAHAR,"10,140",No,fixed,,BDO CHILKAHAR,CHILKAHAR,04-Apr-2026 03:00 PM,15-Apr-2026 04:00 PM,04-Apr-2026 03:00 PM,15-Apr-2026 03:00 PM,NA ,NA ,04-Apr-2026 03:00 PM,15-Apr-2026 03:00 PM,16-Apr-2026 10:00 AM,500.0,BDO CHILKAHAR,CHILKAHAR,No,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Chilkahar,1224 Date 28-03-2026 Work No 6,2026_RDUP_1133232_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6045202.0,MAA ENTERPRISES,14-Apr-2026 01:02 AM,Rejected-AOC,L2,17-Apr-2026 03:31 PM,,,,,,,,AOC,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6045110.0,M/S JAI MAA BHAGAWATI VINDHYACHALI TRADERS,13-Apr-2026 11:45 PM,Accepted-AOC,L1,17-Apr-2026 03:31 PM,,,,,,,,AOC,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
