Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,2026_DOLBU_1122218_1,694-1,Construction Of Boundary wall Gate And Painting work,1.0,5984011.0,SAROJANI ASSOCIATES,INR,"592,984",1.0,5983823.0,M/S PANKJA CONSTRUCTION,18-Mar-2026 07:57 AM,Rejected-Finance,Highest BID,03-Apr-2026 05:28 PM,04-Apr-2026,"INR 592,984",90.0,Meenu Singh,04-Apr-2026 05:45 PM,F1.pdf (205.00 KB),Crate Agreement On Stamp Paper and Complete the job 90 days,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,28-Mar-2026 06:35 PM,30-Mar-2026 12:00 PM,techsummary_2089412.pdf (196.76 KB),Finance,Financial Bid opening summary,Meenu Singh,03-Apr-2026 04:50 PM,finance_2089412.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,03-Apr-2026 05:28 PM,finsummary_2089412.pdf (301.93 KB),Technical,Technical Bid opening summary,Meenu Singh,28-Mar-2026 05:29 PM,technical_2089412.pdf,AOC,Construction Of Boundary wall Gate And Painting work,Construction Of Boundary wall Gate And Painting work Primary School Chakia,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,ward no 10 ambedkarnagar,274203.0,NA ,NA ,NA ,EO NPP Hata,No ,No,26-May-2026 06:17 PM,19-Mar-2026 12:00 PM,07-Mar-2026 10:17 PM,18-Mar-2026 05:00 PM,NA ,NA ,07-Mar-2026 11:00 AM,18-Mar-2026 05:00 PM,30-Mar-2026 06:17 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,1,SS - Small Savings Instrument,Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,694-1,2026_DOLBU_1122218_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"29,700",No,fixed,,EO NPP Hata,Hata,600.0,EO NPP Hata,Hata,No,EO NPP Hata,EO NPP Hata,AOC
,,,,,,,,,2.0,5984011.0,SAROJANI ASSOCIATES,18-Mar-2026 09:37 AM,Accepted-AOC,Lowest BID,04-Apr-2026 05:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
