Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Technical bid open,Sujit Kumar Sinha,20-Feb-2026 04:35 PM,technical_2064679.pdf,10-Apr-2026,"INR 807,963.52",180.0,Sujit Kumar Sinha,13-Apr-2026 06:17 PM,Document2.pdf (26.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,24-Feb-2026 01:11 PM,25-Feb-2026 12:00 PM,techsummary_2064679.pdf (433.78 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1113924_23,"1100/RED/Etender(29)/2025-26, Dt. 20.01.2026",Nagar Panchayat Payagpur Ward No. 7 me Vijay Mishra ke ghar se Ramtej Nigam ke ghar hote huye Ankur Singh ke ghar ki taraf C.C. road nirman-Payagpur_23,1,5885815,M/S VAIBHAV ENTERPRISES,19-Feb-2026 03:00 PM,Accepted-AOC,AOC,13-Apr-2026 06:17 PM,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,26-Feb-2026 04:04 PM,finsummary_2064679.pdf (44.08 KB),Finance,Financial bid open,Sujit Kumar Sinha,25-Feb-2026 03:40 PM,finance_2064679.pdf,BOQ Comparative Chart,1.0,5885815.0,M/S VAIBHAV ENTERPRISES,INR,"807,963.52",AOC,Nagar Panchayat Payagpur Ward No. 7 me Vijay Mishra ke ghar se Ramtej Nigam ke ghar hote huye Ankur Singh ke ghar ki taraf C.C. road nirman-Payagpur_23,Nagar Panchayat Payagpur Ward No. 7 me Vijay Mishra ke ghar se Ramtej Nigam ke ghar hote huye Ankur Singh ke ghar ki taraf C.C. road nirman-Payagpur_23,Please refer Tender documents. ,NA ,"6,85,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,"Office of the Executive Enginer, R.E.D. Bahraich","Office of the Executive Enginer, R.E.D. Bahraich",11-Feb-2026 12:00 PM,20-Feb-2026 12:30 PM,11-Feb-2026 12:00 PM,20-Feb-2026 12:00 PM,NA ,NA ,11-Feb-2026 12:00 PM,20-Feb-2026 12:00 PM,25-Feb-2026 12:00 PM,788.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical bid document,"13,700",No,fixed,,Nil,Nil,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1100/RED/Etender(29)/2025-26, Dt. 20.01.2026",2026_REDUP_1113924_23,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5891334,SUSHILA DEVI,19-Feb-2026 04:26 PM,Rejected-Finance,High,26-Feb-2026 04:04 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
