Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
24-Apr-2026,"INR 553,755.1",180.0,Sujit Kumar Sinha,30-Apr-2026 03:42 PM,04.pdf (44.00 KB),1,6044166,Satya Narain Tiwari,17-Apr-2026 12:20 PM,Accepted-AOC,AOC,30-Apr-2026 03:42 PM,1.0,6044166.0,Satya Narain Tiwari,INR,"553,755.1",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1133427_4,"1277/RED/Etender(37)/2025-26, Dt. 16.03.2026",Vikas Khan Huzoorpur me Huzoorpur Chaurahe ke paas sarvajanik urinal ka nirman karya_04,Finance,Financial bid open,Sujit Kumar Sinha,22-Apr-2026 01:53 PM,finance_2115663.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,21-Apr-2026 01:25 PM,22-Apr-2026 12:00 PM,techsummary_2115663.pdf (413.45 KB),Technical,Technical bid open,Sujit Kumar Sinha,18-Apr-2026 02:47 PM,technical_2115663.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,22-Apr-2026 04:59 PM,finsummary_2115663.pdf (43.55 KB),AOC,1.0,SBI Bank,"9,400",No,fixed,,Nil,Nil,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1277/RED/Etender(37)/2025-26, Dt. 16.03.2026",2026_REDUP_1133427_4,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Vikas Khan Huzoorpur me Huzoorpur Chaurahe ke paas sarvajanik urinal ka nirman karya_04,Vikas Khan Huzoorpur me Huzoorpur Chaurahe ke paas sarvajanik urinal ka nirman karya_04,Please refer Tender documents. ,NA ,"4,70,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,692.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical bid document,1.0,Corrigendum for date change,Date,,26-May-2026 05:16 PM,18-Apr-2026 12:30 PM,06-Apr-2026 12:00 PM,18-Apr-2026 12:00 PM,NA ,NA ,06-Apr-2026 12:00 PM,18-Apr-2026 12:00 PM,22-Apr-2026 12:00 PM,AOC
,,,,,,2,6044242,SUSHILA DEVI,17-May-2026 05:16 PM,Rejected-Finance,High,22-Apr-2026 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC
