Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Anti-Erosion Work Between Km 0.050 To Km 0.310 Of Laxmipur Ring Bund And Km 3.200 To Km 3.270 Of Domra Ring Bund On Left Bank Of River Rohin In District Maharajganj,Anti-Erosion Work Between Km 0.050 To Km 0.310 Of Laxmipur Ring Bund And Km 3.200 To Km 3.270 Of Domra Ring Bund On Left Bank Of River Rohin In District Maharajganj,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Maharajganj,273301.0,GORAKHPUR ,"OFFICE OF SUPERINTENDING ENGINEER, GANDAK IRRIGATION WORKS CIRCLE-2, GORAKHPUR(U.P) ",07-Mar-2026 11:00 AM ,GORAKHPUR,No ,No,07-Mar-2026 09:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,24-Mar-2026 10:00 AM,SUPERINTENDING ENGINEER,"GANDAK IRRIGATION WORKS CIRCLE-2, GORAKHPUR(U.P)","U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-2, Gorakhpur",05/SE/2025-26,2026_UPIDC_1122376_23,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,80,000",No,fixed,,Nil,Nil,"2,738",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technica,1.0,SBI Bank,1.0,Modification of work completion date,Other,,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-2, Gorakhpur",2026_UPIDC_1122376_23,05/SE/2025-26,Anti-Erosion Work Between Km 0.050 To Km 0.310 Of Laxmipur Ring Bund And Km 3.200 To Km 3.270 Of Domra Ring Bund On Left Bank Of River Rohin In District Maharajganj,1,5968980,M/s Akansha Traders,12-Mar-2026 09:31 PM,Accepted-AOC,AS UPLOADED,09-Apr-2026 04:24 PM,1.0,5968980.0,M/s Akansha Traders,INR,"11,876,672",J.P. Singh,Internal,Alok Kumar,Jaya Prakash Singh,24-Mar-2026 01:49 PM,finsummary_2089974.pdf (297.29 KB),Finance,2026_UPIDC_1122392_7,Jaya Prakash Singh,24-Mar-2026 01:06 PM,,BOQ Comparative Chart,Technical,AS UPLOADED,Jaya Prakash Singh,21-Mar-2026 01:50 PM,,30-Mar-2026,"INR 11,876,672",60.0,Jaya Prakash Singh,09-Apr-2026 04:24 PM,23.pdf (607.00 KB),AS UPLOADED,J.P. Singh,Internal,Alok Kumar,Jaya Prakash Singh,21-Mar-2026 08:24 PM,24-Mar-2026 10:00 AM,techsummary_2089974.pdf (1849.02 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,AOC,,,,,2,5968242,Strunjay Singh,13-Mar-2026 12:58 PM,Rejected-AOC,AS UPLOADED,09-Apr-2026 04:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
