Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,27-Apr-2026 01:53 PM,techsummary_2106750.pdf (2455.60 KB),Finance,Evaluation Letter,DILIP KUMAR,13-Apr-2026 07:29 PM,finance_2106750.pdf,BOQ Comparative Chart,27-Apr-2026,"INR 932,160",45.0,DILIP KUMAR,27-Apr-2026 02:01 PM,691.pdf (660.00 KB),AOC for Acceptance No 691 date 15.04.2026,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,27-Apr-2026 01:56 PM,finsummary_2106750.pdf (2455.60 KB),1.0,6008015.0,Dixit Enterprises,INR,"932,160",Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1129312_10,507/E-Tender/2025-26 dt. 17.03.2026,Jawahar Bhawan north wing sthit rooms evam common area me civil anurakshan ka karya.,1,6008015,Dixit Enterprises,25-Mar-2026 07:16 PM,Accepted-AOC,Financial bid is accepted at the Price Rs. 932160.00 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,27-Apr-2026 02:01 PM,AOC,860.0,Nil,Nil,No,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,507/E-Tender/2025-26 dt. 17.03.2026,2026_PWDBL_1129312_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,"94,000",No,fixed,,Nil,Nil,Jawahar Bhawan north wing sthit rooms evam common area me civil anurakshan ka karya.,Jawahar Bhawan north wing sthit rooms evam common area me civil anurakshan ka karya.,Please refer Tender documents. ,NA ,"9,40,000",Civil Works - Buildings,NA ,Tender,90.0,45.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,25-Mar-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,24-Mar-2026 09:00 AM,30-Mar-2026 12:30 PM,24-Mar-2026 09:00 AM,30-Mar-2026 12:00 PM,NA ,NA ,24-Mar-2026 09:00 AM,30-Mar-2026 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6008060,M.K ENTERPRISES,25-Mar-2026 07:41 PM,Rejected-Finance,Financial bid Rejected due to L2,27-Apr-2026 01:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
