Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1105345_1,344/AA-2/25-26,Improvement of Road By C.C. from H/O Ram prakash to Ramji tiwari in ward -11 under zone-2,1.0,5806856.0,M/S BABA ANANDESWAR SUPPLIERS,INR,"838,802",1,5806856,M/S BABA ANANDESWAR SUPPLIERS,15-Jan-2026 05:09 PM,Accepted-AOC,aoc,08-Apr-2026 07:00 PM,07-Apr-2026,"INR 838,802",45.0,DIVAKAR BHASKAR,08-Apr-2026 07:00 PM,1105345babaandsup.pdf (561.00 KB),Finance,M/S BABA ANANDESWAR SUPPLIERS,DIVAKAR BHASKAR,22-Jan-2026 12:40 PM,,BOQ Comparative Chart,CE,Internal,,DIVAKAR BHASKAR,19-Feb-2026 12:12 PM,finsummary_2039509.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,19-Feb-2026 12:08 PM,techsummary_2039509.pdf (194.18 KB),AOC,1.0,SBI Bank,"CHIEF ENGINEER, KMC",motijheel,"1,180",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,10-Jan-2026 04:00 PM,16-Jan-2026 04:00 PM,10-Jan-2026 04:00 PM,16-Jan-2026 03:00 PM,NA ,NA ,10-Jan-2026 04:00 PM,16-Jan-2026 03:00 PM,Improvement of Road By C.C. from H/O Ram prakash to Ramji tiwari in ward -11 under zone-2,Improvement of Road By C.C. from H/O Ram prakash to Ramji tiwari in ward -11 under zone-2,Please refer Tender documents. ,NA ,"9,95,760",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,"99,576",No,percentage,10.0%,Nil,Nil,"Kanpur Municipal Corporation, Kanpur, UP",344/AA-2/25-26,2026_NNKAN_1105345_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5807055,REETIKA ENTERPRISES,15-Jan-2026 06:19 PM,Rejected-Finance,L2,19-Feb-2026 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
