Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
280.0,adhishashi adhikari nagar palika parishad,sandila,No,1.0,Fee/PreQual/Technical,.pdf,tech,28-npp sandila me wno18 me saurabh gupta ke makan se azhar ke makan hote huye deepak chaurasiya ke makan tak cc sadak ve nali nirman karya,28-npp sandila me wno18 me saurabh gupta ke makan se azhar ke makan hote huye deepak chaurasiya ke makan tak cc sadak ve nali nirman karya,Please refer Tender documents. ,NA ,"2,79,000",Civil Works,NA ,Tender,30.0,60.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,13-Mar-2026 11:00 AM,04-Apr-2026 12:00 PM,13-Mar-2026 11:00 AM,02-Apr-2026 05:00 PM,NA ,NA ,13-Mar-2026 11:00 AM,02-Apr-2026 05:00 PM,09-Apr-2026 06:15 PM,EO and JE,sandila,1,DD - Demand Draft,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,1298/NP/NV/RVA/2025-26,2026_DOLBU_1124747_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"23,700",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,AOC,Technical,3 ADMITTED,Shiv Kumar,09-Apr-2026 04:25 PM,,eo and je,Internal,,Shiv Kumar,11-Apr-2026 12:03 PM,finsummary_2096022.pdf (143.67 KB),Finance,OM CONSTRUCTIONS WINNER,Shiv Kumar,10-Apr-2026 02:15 PM,,BOQ Comparative Chart,eo and je,Internal,,gaurav Shukla,09-Apr-2026 06:13 PM,09-Apr-2026 06:15 PM,techsummary_2096022.pdf (108.06 KB),11-Apr-2026,"INR 276,210",60.0,Shiv Kumar,11-Apr-2026 12:05 PM,28.pdf (144.00 KB),1.0,6027101.0,FAIZUL HAQ,02-Apr-2026 04:08 PM,Rejected-AOC,L2,11-Apr-2026 12:05 PM,1.0,6027045.0,M/S OM CONSTRUCTIONS,INR,"276,210",Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1124747_1,1298/NP/NV/RVA/2025-26,28-npp sandila me wno18 me saurabh gupta ke makan se azhar ke makan hote huye deepak chaurasiya ke makan tak cc sadak ve nali nirman karya,AOC
,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6027045.0,M/S OM CONSTRUCTIONS,02-Apr-2026 04:17 PM,Accepted-AOC,L1,11-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6027132.0,STAR BUILDERS & SUPPLIERS,02-Apr-2026 04:33 PM,Rejected-AOC,L2,11-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
