Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
26-May-2026 05:41 PM,24-Feb-2026 12:30 PM,17-Feb-2026 09:00 AM,23-Feb-2026 12:00 PM,NA ,NA ,17-Feb-2026 09:00 AM,23-Feb-2026 12:00 PM,27-Feb-2026 10:00 AM,856.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2235/EE/RED/2025-26/22-01-2026,2026_REDUP_1110146_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender FEE EMD,Lot56 nagra panchyat belthraroad ward no 10 umarganj me sarkari hospital ke samne se BSNL telephone exchange tak CC road ka nirman kary,Lot56 nagra panchyat belthraroad ward no 10 umarganj me sarkari hospital ke samne se BSNL telephone exchange tak CC road ka nirman kary,Please refer Tender documents. ,NA ,"8,49,000",Civil Works,NA ,Tender,90.0,90.0,ballia,277001.0,NA ,NA ,NA ,EE RED DIV Ballia,No ,No,EE RED DIV Ballia,EE RED DIV Ballia,"17,000",Yes,fixed,,Nil,Nil,AOC,EE,Internal,aedao,Ratnesh Kumar Gond,16-Apr-2026 10:56 AM,finsummary_2050120.pdf (97.62 KB),Technical,2 bid admitted,ROLI VISHVKARMA,25-Feb-2026 04:51 PM,,EE,Internal,aedao,Ratnesh Kumar Gond,26-Feb-2026 11:42 AM,27-Feb-2026 10:00 AM,techsummary_2050120.pdf (95.79 KB),Finance,2 bid,Ratnesh Kumar Gond,27-Feb-2026 01:56 PM,,BOQ Comparative Chart,1.0,5905529.0,RAKESH KUMAR MISHRA,INR,"847,648.01",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1110146_1,2235/EE/RED/2025-26/22-01-2026,Lot56 nagra panchyat belthraroad ward no 10 umarganj me sarkari hospital ke samne se BSNL telephone exchange tak CC road ka nirman kary,1.0,5905468.0,M/s SHAKTI CONSTRUCTION,21-Feb-2026 11:59 AM,Rejected-Finance,first lowest,16-Apr-2026 10:56 AM,16-Apr-2026,"INR 847,648.01",90.0,Ratnesh Kumar Gond,16-Apr-2026 11:05 AM,56fin.pdf (98.00 KB),aoc,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other tecnical docuemnt,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5905529.0,RAKESH KUMAR MISHRA,21-Feb-2026 12:10 PM,Accepted-AOC,aoc,16-Apr-2026 11:05 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ FOR RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
