Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2026_REDUP_1117698_7,2380/RED/2025-26/dt-24-1-26,Ward 37 Ganganagar mein he Makan number 153 se 173 tak interlocking tile dwara sadak Nirman karya,1.0,5924845.0,GALAXY DEVELOPERS,INR,"2,492,752",1,5924845,GALAXY DEVELOPERS,26-May-2026 05:27 PM,Accepted-AOC,L1 bidder,07-Apr-2026 08:22 AM,07-Apr-2026,"INR 2,492,752",90.0,SHUBHAM PARLE,07-Apr-2026 08:22 AM,bond.pdf (529.00 KB),L1 Bidder,EE RED MEERUT,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,26-May-2026 05:27 PM,finsummary_2077113.pdf (22.58 KB),Technical,technical bid open,SHUBHAM PARLE,11-Mar-2026 09:08 PM,technical_2077113.pdf,EE RED MEERUT,Internal,01-EE RED MEERUT 02-AE RED MEERUT 03-DAO RED MEERUT,SHUBHAM PARLE,11-Mar-2026 09:19 PM,13-Mar-2026 12:00 PM,techsummary_2077113.pdf (230.70 KB),Finance,financial,UDAY SHANKAR,06-Apr-2026 10:14 PM,finance_2077113.pdf,BOQ Comparative Chart,AOC,EE RED MEERUT,EE RED MEERUT DIVISION,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2380/RED/2025-26/dt-24-1-26,2026_REDUP_1117698_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"43,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Ward 37 Ganganagar mein he Makan number 153 se 173 tak interlocking tile dwara sadak Nirman karya,Ward 37 Ganganagar mein he Makan number 153 se 173 tak interlocking tile dwara sadak Nirman karya,Please refer Tender documents. ,NA ,"21,13,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Meerut,250002.0,NA ,NA ,NA ,EE RED MEERUT DIVISION,No ,No,944.0,Nil,Nil,No,19-Feb-2026 10:00 AM,26-Feb-2026 12:30 PM,19-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,NA ,NA ,19-Feb-2026 12:00 PM,25-Feb-2026 12:00 PM,13-Mar-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Document,AOC
,,,,,,,,,2,5925136,pranjla construction,24-Feb-2026 06:24 PM,Rejected-Finance,L2,07-Apr-2026 06:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
