Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",05/EE/2025-26,2026_UPIDC_1119844_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,25-Feb-2026 11:30 AM,05-Mar-2026 12:00 PM,25-Feb-2026 11:30 AM,05-Mar-2026 11:30 AM,NA ,NA ,25-Feb-2026 11:30 AM,05-Mar-2026 11:30 AM,19-Mar-2026 12:30 PM,"1,51,000",Yes,fixed,,Nil,Nil,05/EE/2025-26(LOT-2),05/EE/2025-26(LOT-2),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,MORADABAD,244001.0,NA ,NA ,NA ,MEERUT,No ,No,EXECUTIVE ENGINEER,"OFFICE OF EE MGCCD-6, MEERUT",1.0,SBI Bank,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,As per NIT,AOC,Himanshu Dharia,Internal,SN UPENDRA ROHIT,himanshu dharia,20-Mar-2026 09:24 PM,finsummary_2082890.pdf (21.45 KB),Technical,03 Bidder Submited your bid 02 Bidder Admitted 01 Bidder Not Admitted,himanshu dharia,19-Mar-2026 11:57 AM,technical_2082890.pdf,Himanshu Dharia,Internal,SN UPENDRA ROHIT,himanshu dharia,19-Mar-2026 12:23 PM,19-Mar-2026 12:30 PM,techsummary_2082890.pdf (237.50 KB),Finance,02 Bidder Admitted,himanshu dharia,20-Mar-2026 09:08 PM,finance_2082890.pdf,BOQ Comparative Chart,1,5946941,JS cONSTRUCTIONS,04-Mar-2026 11:53 PM,Rejected-Finance,L2,20-Mar-2026 09:24 PM,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",2026_UPIDC_1119844_2,05/EE/2025-26,05/EE/2025-26(LOT-2),1.0,5946216.0,MAA SHAKUMBARI,INR,"1,650,029",23-Mar-2026,"INR 1,650,029",90.0,himanshu dharia,11-Apr-2026 07:14 AM,doc.pdf (21.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,As per BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5946216,MAA SHAKUMBARI,04-Mar-2026 10:43 PM,Accepted-AOC,L1,11-Apr-2026 07:14 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5947394,SHRI JAGANNATH SHARMA CONSTRUCTIONS,05-Mar-2026 11:25 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,AOC
