Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Technical,FINAL,RAJNEESH KUMAR,10-Apr-2026 03:23 PM,technical_2094912.pdf,29-Apr-2026,"INR 3,190,776",90.0,RAJNEESH KUMAR,29-Apr-2026 04:25 PM,22bijaulisonu.pdf (1142.00 KB),final,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,10-Apr-2026 03:25 PM,17-Apr-2026 12:30 PM,techsummary_2094912.pdf (271.08 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1123778_14,3430/RED/Tender/2025-26 Dt. 03.02.2026,Ward no. 22 Bijauli main Sonu ke makan se Pandit ji ke makan tak apex sadak abam nali ka nirman karya.,1,6004881,ANIL KUMAR PATERIYA,25-Mar-2026 08:28 AM,Accepted-AOC,y,29-Apr-2026 04:25 PM,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,29-Apr-2026 04:22 PM,finsummary_2094912.pdf (1141.80 KB),Finance,final,RAJNEESH KUMAR,29-Apr-2026 04:19 PM,,BOQ Comparative Chart,1.0,6004881.0,ANIL KUMAR PATERIYA,INR,"3,190,776",AOC,EE RED Jhansi,EE RED Jhansi,"43,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,SBD,Ward no. 22 Bijauli main Sonu ke makan se Pandit ji ke makan tak apex sadak abam nali ka nirman karya.,Ward no. 22 Bijauli main Sonu ke makan se Pandit ji ke makan tak apex sadak abam nali ka nirman karya.,Please refer Tender documents. ,NA ,"8,49,000",Civil Works,NA ,Tender,90.0,90.0,Ward no. 22 Bijauli main Sonu ke makan se Pandit j,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,12-Mar-2026 12:00 PM,25-Mar-2026 03:30 PM,12-Mar-2026 12:00 PM,25-Mar-2026 12:00 PM,NA ,NA ,12-Mar-2026 12:00 PM,25-Mar-2026 12:00 PM,17-Mar-2026 09:00 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3430/RED/Tender/2025-26 Dt. 03.02.2026,2026_REDUP_1123778_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6005109,LUCKY ENTERPRISES,25-Mar-2026 08:45 AM,Rejected-Finance,n,29-Apr-2026 04:22 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
