S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
1.0,5817097.0,M/S H. K. BUILDERS,INR,"13,814,845.74",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2026_UPPRC_1107549_2,32/GM-4/UPPCL/2025-26 Dated 14-01-2026,"TOURISM DEVELOPMENT WORK OF SHRI BRAHMDEV, SHIV JI AND BAJRANGWALI MANDIR AT VILLAGE NAGLA KEWAL IN DISTRICT- FIROZABAD (U.P.)",1,5817097,M/S H. K. BUILDERS,22-Jan-2026 07:51 PM,Accepted-AOC,L1,28-Apr-2026 02:40 PM,19-Mar-2026,"INR 13,814,845.74",270.0,RAJIV KUMAR PANDEY,28-Apr-2026 02:40 PM,AOC.pdf (44.00 KB),Work Awarded to M/s H.K. Builders,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,24-Feb-2026 05:47 PM,25-Feb-2026 12:00 PM,techsummary_2044081.pdf (2086.84 KB),Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,26-Feb-2026 08:36 PM,,BOQ Comparative Chart,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,26-Feb-2026 08:46 PM,finsummary_2044081.pdf (71.48 KB),Technical,Two Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,24-Feb-2026 05:44 PM,,AOC,"2,78,000",No,fixed,,Nil,Nil,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra",19-Jan-2026 04:30 PM,29-Jan-2026 03:00 PM,19-Jan-2026 04:30 PM,29-Jan-2026 02:00 PM,NA ,NA ,19-Jan-2026 04:30 PM,29-Jan-2026 02:00 PM,25-Feb-2026 12:00 PM,"17,700",Nil,Nil,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,32/GM-4/UPPCL/2025-26 Dated 14-01-2026,2026_UPPRC_1107549_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Bid Doc,"TOURISM DEVELOPMENT WORK OF SHRI BRAHMDEV, SHIV JI AND BAJRANGWALI MANDIR AT VILLAGE NAGLA KEWAL IN DISTRICT- FIROZABAD (U.P.)","TOURISM DEVELOPMENT WORK OF SHRI BRAHMDEV, SHIV JI AND BAJRANGWALI MANDIR AT VILLAGE NAGLA KEWAL IN DISTRICT- FIROZABAD (U.P.)",Please refer Tender documents. ,NA ,"1,38,94,041",Miscellaneous Works,NA ,Tender,90.0,270.0,Vill Nagla Kewal Distt Firozabad,283142.0,Office of General Manager (Zone-4) Agra ,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra ",22-Jan-2026 11:00 AM ,General Manager (Zone-4) Agra,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,2,5820425,M/S SHRI SHYAMJI BUILDERS,25-Jan-2026 07:31 PM,Rejected-Finance,Being Second Lowest,26-Feb-2026 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,AOC
