Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",61/AA-1/2025-26,2026_NNKAN_1105933_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,zone-01 ward-76 Harvansh mohal ke antargat 65/132 Harijan Colony me Inter Locking Lagane Ka Karay,zone-01 ward-76 Harvansh mohal ke antargat 65/132 Harijan Colony me Inter Locking Lagane Ka Karay,Please refer Tender documents. ,NA ,"9,81,727",Civil Works,NA ,Tender,90.0,NA ,kanpur,208001.0,NA ,NA ,NA ,ze-1 civil lines,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,tn,13-Jan-2026 03:20 PM,16-Jan-2026 04:00 PM,13-Jan-2026 03:20 PM,16-Jan-2026 03:00 PM,NA ,NA ,13-Jan-2026 03:20 PM,16-Jan-2026 03:00 PM,"98,173",Yes,fixed,,Nil,Nil,c.e office,c. e. office nagar nigam kanpur,1.0,SBI Bank,"1,180",Nil,Nil,No,AOC,MUNCIPAL COPORATION SIR,Internal,,RAM KUMAR TIWARI,11-Feb-2026 05:44 PM,finsummary_2040561.pdf (403.92 KB),MUNCIPAL COPORATION SIR,Internal,,RAM KUMAR TIWARI,11-Feb-2026 05:40 PM,techsummary_2040561.pdf (403.92 KB),"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1105933_1,61/AA-1/2025-26,zone-01 ward-76 Harvansh mohal ke antargat 65/132 Harijan Colony me Inter Locking Lagane Ka Karay,1.0,5801885.0,SHANTI ENTERPRISES,INR,"957,251",1,5802949,M/S HIMANSHU CONTRACTOR,14-Jan-2026 06:22 PM,Rejected-Finance,l3,11-Feb-2026 05:44 PM,02-Apr-2026,"INR 957,251",45.0,RAM KUMAR TIWARI,02-Apr-2026 05:23 PM,61.pdf (246.00 KB),wo,Finance,shanti entrprises l1,RAM KUMAR TIWARI,11-Feb-2026 05:34 PM,finance_2040561.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5807194,M/s khushi enterprises,15-Jan-2026 09:47 PM,Rejected-Finance,l2,11-Feb-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5801885,SHANTI ENTERPRISES,14-Jan-2026 02:56 PM,Accepted-AOC,L1,02-Apr-2026 05:23 PM,,,,,,,,,,,,,,AOC
