Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"11,70,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"2,360",Nil,Nil,No,21-Feb-2026 05:00 PM,28-Feb-2026 11:00 AM,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,NA ,NA ,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,06-Apr-2026 03:00 PM,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(203)/NNA/2025-26,2026_DOLBU_1116543_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"1,17,000",No,fixed,,Nil,Nil,EE,NAGAR NIGAM ALIGARH,AOC,Technical,All Documents Completed,Rajvir Singh,06-Apr-2026 12:31 PM,technical_2077146.pdf,CE,Internal,EE,Danish Haider Naqvi,16-Apr-2026 01:09 PM,finsummary_2077146.pdf (297.78 KB),Finance,OK,Rajvir Singh,16-Apr-2026 11:25 AM,,BOQ Comparative Chart,CE,Internal,EE,Danish Haider Naqvi,06-Apr-2026 02:31 PM,06-Apr-2026 03:00 PM,techsummary_2077146.pdf (193.40 KB),30-Apr-2026,"INR 1,166,490",30.0,Rajvir Singh,30-Apr-2026 05:39 PM,cammetti.pdf (193.00 KB),ok,1,5938291,M/S MFA CONSTRACTION,27-Feb-2026 03:54 PM,Accepted-AOC,ok,30-Apr-2026 05:39 PM,Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1116543_1,6269(203)/NNA/2025-26,NIRMAN WORK,1.0,5938291.0,M/S MFA CONSTRACTION,INR,"1,166,490",AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5938459,M/s shikar contractor and supplyer,27-Feb-2026 04:37 PM,Rejected-Finance,OK,16-Apr-2026 01:09 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5938384,M/S S S K ASSOCIATES,27-Feb-2026 04:18 PM,Rejected-Finance,OK,16-Apr-2026 01:09 PM,,,,,,,,,,AOC
